Words,Reading,Meaning,Sentences
もっと,もっと,more,
外国,がいこく,foreign country,
外国人,がいこくじん,foreigner,
他,ほか,other,
やる,やる,to do,
寝る,ねる,to lie down,
ベッド,ベッド,bed,
あそこ,あそこ,there,
旅行,りょこう,travel,
ドア,ドア,door,
スポーツ,スポーツ,sport,
あれ,あれ,that,
広い,ひろい,spacious,
雨,あめ,rain,
宿題,しゅくだい,homework,
地図,ちず,map,
難しい,むずかしい,difficult,
新聞,しんぶん,newspaper,
曇り,くもり,cloudiness,
いくつ,いくつ,how many?,
いくら,いくら,how much?,
国,くに,country,
白い,しろい,white,
白,しろ,white,
晴れる,はれる,to clear up,
晴れ,はれ,clear weather,
散歩,さんぽ,walk,
閉める,しめる,to close,
面白い,おもしろい,interesting,
右,みぎ,right,
並べる,ならべる,to line up,
並ぶ,ならぶ,to line up,
答える,こたえる,to answer,
こたえる,らいげつ,next month,
たくさん,たくさん,a lot,
わかる,わかる,to understand,
窓,まど,window,
ネクタイ,ネクタイ,tie,
来る,くる,to come,
始め,はじめ,beginning,
初めて,はじめて,for the first time,
静か,しずか,quiet,
下手,へた,unskillful,
浴びる,あびる,to dash over oneself,
高い,たかい,"high, expensive",
一番,いちばん,number one,
欲しい,ほしい,wanted,
スカート,スカート,skirt,
悪い,わるい,bad,
寒い,さむい,cold,
犬,いぬ,dog,
耳,みみ,ear,
作文,さくぶん,writing,
青い,あおい,blue,
百,ひゃく,hundred,
大変,たいへん,very,
青,あお,blue,
長い,ながい,long,
飛ぶ,とぶ,to fly,
暖かい,あたたかい,warm,
とても,とても,very,
どう,どう,how,
朝ご飯,あさごはん,breakfast,
咲く,さく,to bloom,
開く,あく,to open,
留学生,りゅうがくせい,overseas student,
お弁当,おべんとう,bento,
つまらない,つまらない,dull,
地下鉄,ちかてつ,underground train,
道,みち,road,
でも,でも,but,
玄関,げんかん,entranceway,
知る,しる,to be aware of,
きれい,きれい,pretty,
まだ,まだ,as yet,
新しい,あたらしい,new,
奥さん,おくさん,wife,
スプーン,スプーン,spoon,
出口,でぐち,exit,
なくす,なくす,to lose something,
茶色,茶色,light brown,
若い,わかい,young,
お兄さん,おにいさん,older brother,
お金,おかね,money,
涼しい,すずしい,cool,
料理,りょうり,cooking,
お菓子,おかし,confections,
学生,がくせい,student,
牛肉,ぎゅうにく,beef,
牛乳,ぎゅうにゅう,cow's milk,
ズボン,ズボン,trousers,
セーター,セーター,sweater,
去年,きょねん,last year,
古い,ふるい,old,
ええ,ええ,yes,
コーヒー,コーヒー,coffee,
学校,がっこう,school,
北,きた,north,
まずい,まずい,unappetising,
出す,だす,to take out,
閉まる,しまる,to be shut,
締める,しめる,to tie,
仕事,しごと,work,
出る,でる,to leave,
もう一度,もういちど,once more,
角,かど,corner,
木曜日,もくようび,thursday,
辞書,じしょ,dictionary,
二つ,ふたつ,two,
コート,コート,coat,
二,に,two,
書く,かく,to write,
庭,にわ,garden,
ご飯,ごはん,cooked rice,
覚える,おぼえる,to memorize,
木,き,tree,
服,ふく,clothes,
走る,はしる,to run,
自分,じぶん,myself,
薄い,うすい,thin,
空,そら,sky,
暑い,あつい,hot,
自動車,じどうしゃ,automobile,
おばさん,おばさん,aunt,
誰,だれ,who,
所,ところ,place,
見る,みる,to see,
頼む,たのむ,to request,
自転車,じてんしゃ,bicycle,
来年,らいねん,next year,
いろいろ,いろいろ,various,
石鹸,せっけん,soap,
家,いえ,house,
撮る,とる,to take,
風呂,ふろ,bath,
脱ぐ,ぬぐ,to take off,
見せる,みせる,to show,
色,いろ,colour,
嫌,いや,disagreeable,
来週,らいしゅう,next week,
ノート,ノート,notebook,
そうして,そうして,and,
夏,なつ,summer,
歩く,あるく,to walk,
遅い,おそい,slow,
借りる,かりる,to borrow,
曲がる,まがる,to bend,
夏休み,なつやすみ,summer vacation,
言う,いう,to say,
池,いけ,pond,
メートル,メートル,metre,
言葉,ことば,"word, language",
どうも,どうも,thanks,
置く,thanks,to put,
車,くるま,car,
スリッパ,スリッパ,slipper,
どれ,どれ,which,
交差点,こうさてん,crossing,
全部,ぜんぶ,all,
砂糖,さとう,sugar,
歌,うた,song,
番号,ばんごう,number,
隣,となり,"next, neighbor",
豚肉,ぶたにく,pork,
果物,くだもの,fruit,
シャツ,シャツ,shirt,
呼ぶ,よぶ,to call out ,
人,ひと,man,
まっすぐ,まっすぐ,straight ahead,
丈夫,じょうぶ,"strong, healthy",
晩,ばん,evening,
上着,うわぎ,coat,
お父さん,おとうさん,father,
消える,きえる,"to go out, vanish, disappear",
フィルム,フィルム,film,
お茶,おちゃ,tea,
差す,さす,to shine,
消す,けす,"to erase, delete",
緑,みどり,green,
二日,ふつか,second day of the month,
中,なか,inside,
お腹,おなか,stomach,
これ,これ,this,
お母さん,おかあさん,mother,
お手洗い,おてあらい,toilet,
おまわりさん,おまわりさん,police officer,
着る,きる,to wear,
使う,つかう,to use,
生まれる,うまれる,to be born,
映画館,えいがかん,movie theatre,
映画,えいが,movie,
楽しい,たのしい,enjoyable,
おばあさん,おばあさん,grandmother,
小さな,ちいさな,small,
パーティ,パーティ,party,
ワイシャツ,ワイシャツ,shirt,
ナイフ,ナイフ,knife,
廊下,ろうか,corridor,
靴,くつ,shoes,
靴下,くつした,socks,
お風呂,おふろ,bath,
八百屋,やおや,greengrocer,
八日,ようか,the eighth day of the month,
授業,じゅぎょう,lesson,
そば,そば,near,
女,おんな,female,
女の子,おんなのこ,girl,
箸,はし,chopsticks,
テレビ,テレビ,television,
七つ,ななつ,seven,
七,しち,seven,
飴,あめ,candy,
止まる,とまる,to stop,
三つ,みっつ,three,
安い,やすい,cheap,
死ぬ,しぬ,to die,
大きい,おおきい,big,
卵,たまご,eggs,
食堂,しょくどう,dining room,
うるさい,うるさい,noisy,
お皿,plate,plate,
喫茶店,きっさてん,coffee shop,
雑誌,ざっし,journal,
食べ物,たべもの,food,
赤い,あかい,red,
食べる,たべる,to eat,
家庭,かてい,home,
お姉さん,おねえさん,elder sister,
家族,かぞく,family,
左,ひだり,left,
歌う,うたう,to sing,
友達,ともだち,friend,
読む,よむ,to read,
着く,つく,to arrive at,
弱い,よわい,weak,
カップ,カップ,cup,
切符,きっぷ,ticket,
晩御飯,ばんごはん,dinner,
掃除,そうじ,cleaning,
疲れる,つかれる,to get tired,
誕生日,たんじょうび,birthday,
取る,とる,to take,
ペン,ペン,pen,
郵便局,ゆうびんきょく,post office,
弟,おとうと,younger brother,
切手,きって,stamp,
吸う,すう,to smoke,
待つ,まつ,to wait,
花,はな,flower,
あちら,あちら,that way,
洗う,あらう,to wash,
赤,あか,red,
遊ぶ,あそぶ,to play,
冷たい,つめたい,cold,
洗濯,せんたく,washing,
引く,ひく,to pull,
火曜日,かようび,Tuesday,
一つ,ひとつ,one,
一,いち,one,
辛い,からい,spicy,
本棚,ほんだな,bookshelves,
かばん,かばん,bag,
英語,えいご,english,
キログラム,キログラム,kilogram,
キロ,キロ,kilo,
肉,にく,flesh,
キロメートル,キロメートル,kilometer,
泳ぐ,およぐ,to swim,
天気,てんき,weather,
いつも,いつも,always,
タクシー,タクシー,taxi,
ギター,ギター,guitar,
早い,はやい,fast,
川,かわ,river,
賑やか,にぎやか,bustling,
本,ほん,book,
アパート,アパート,apartment building,
生徒,せいと,pupil,
交番,こうばん,police box,
醤油,しょうゆ,soy sauce,
六日,むいか,sixth day of the month,
吹く,ふく,to blow,
いつ,いつ,when,
夜,よる,evening,
足,あし,foot,
プール,プール,pool,
問題,もんだい,"problem, question",
図書館,としょかん,library,
電話,でんわ,telephone call,
話,はなし,talk,
電車,でんしゃ,train,
暗い,くらい,dark,
物,もの,thing,
方,かた,direction,
二十日,はつか,twentieth day of the month,
切る,きる,to cut,
ペット,ペット,pet,
二十歳,はたち,twenty years old,
甘い,あまい,sweet-tasting,
短い,みじかい,short,
紙,かみ,paper,
漢字,かんじ,kanji,
買い物,かいもの,shopping,
有名,ゆうめい,famous,
飲み物,のみもの,drink,
休み,やすみ,rest,
終わる,おわる,to finish,
休む,やすむ,to be absent,
軽い,かるい,light,
ページ,ページ,page,
降りる,おりる,to descend,
座る,すわる,to sit,
曇る,くもる,to get cloudy,
私,わたし,I,
シャワー,シャワー,shower,
電気,でんき,electricity,
戸,と,door,
警官,けいかん,police officer,
かわいい,かわいい,cute,
結構,けっこう,splendid,
結婚,けっこん,marriage,
なぜ,なぜ,why,
雪,ゆき,snow,
どこ,どこ,where,
ホテル,ホテル,hotel,
何,なに,what,
いい,いい,good,
南,みなみ,south,
昼ご飯,ひるごはん,lunch,
手紙,てがみ,letter,
午後,ごご,afternoon,
この,この,this,
再来年,さらいねん,year after next,
入口,いりぐち,entrance,
荷物,にもつ,luggage,
二人,ふたり,two persons,
歯,は,tooth,
上る,のぼる,to ascend,
れい,れい,zero,
五日,いつか,the fifth day of the month,
上げる,あげる,to raise,
貸す,かす,to lend,
頭,あたま,head,
など,など,et cetera,
机,つくえ,desk,
カメラ,カメラ,camera,
手,て,hand,
こんな,こんな,such,
磨く,みがく,to polish,
上,うえ,above,
店,みせ,store,
冷蔵庫,れいぞうこ,refrigerator,
五,ご,five,
五つ,いつつ,five,
日曜日,にちようび,Sunday,
こちら,こちら,this way,
子供,こども,child,
秋,あき,autumn,
姉,あね,older sister,
駅,えき,station,
始まる,はじまる,to begin,
すぐに,すぐに,instantly,
四日,よっか,fourth day of the month,
半,はん,half,
どなた,どなた,who?,
どちら,どちら,which way,
野菜,やさい,vegetable,
四つ,よっつ,four,
話す,はなす,to talk,
公園,こうえん,public park,
鳥,とり,bird,
黄色,きいろ,yellow,
男,おとこ,man,
横,よこ,horizontal,
塩,しお,salt,
渡る,わたる,to cross over,
渡す,わたす,to ferry across,
黒い,くろい,black,
黒,くろ,black,
水,みず,water,
どうぞ,どうぞ,please,
花瓶,かびん,flower vase,
ハンカチ,ハンカチ,handkerchief,
飲む,のむ,to drink,
一日,いちにち,one day,
一昨年,いっさくねん,year before last,
一人,ひとり,one person,
押す,おす,to push,
夕方,ゆうがた,evening,
弾く,ひく,to play,
一昨日,おととい,day before yesterday,
夕べ,ゆうべ,evening,
バター,バター,butter,
町,まち,town,
今晩,こんばん,tonight,
先週,せんしゅう,last week,
背,せ,back,
文章,ぶんしょう,sentence,
紅茶,こうちゃ,black tea,
今月,こんげつ,this month,
先月,せんげつ,last month,
月曜日,げつようび,Monday,
今週,こんしゅう,this week,
九,きゅう,nine,
大きな,おおきな,big,
魚,さかな,fish,
椅子,いす,chair,
黄色い,きいろい,yellow,
ボールペン,ボールペン,ball-point pen,
台所,だいどころ,kitchen,
バス,バス,bus,
ボタン,ボタン,button,
する,する,to do,
冬,ふゆ,winter,
コップ,コップ,cup,
先,さき,previous,
風邪,かぜ,common cold,
じゃあ,じゃあ,then,
忘れる,わすれる,to forget,
飛行機,ひこうき,aeroplane,
忙しい,いそがしい,busy,
帽子,ぼうし,hat,
上手,じょうず,skillful,
同じ,おなじ,same,
風,かぜ,wind,
エレベーター,エレベーター,elevator,
封筒,ふうとう,envelope,
テーブル,テーブル,table,
なるほど,なるほど,"i see, indeed, that’s right",
男性,だんせい,man,
決まる,きまる,to be decided,
気持ち,きもち,feeling,
喜ぶ,よろこぶ,to be delighted,
鳴る,なる,to sound,
ビル,ビル,multi-floor building,
汚れる,よごれる,to get dirty,
聞こえる,きこえる,to be heard,
なるべく,なるべく,as much as possible,
危険,きけん,danger,
湯,ゆ,hot water,
医学,いがく,medical science,
釣る,つる,to fish,
レジ,レジ,cash register,
会話,かいわ,conversation,
降り出す,ふりだす,to begin to rain,
下がる,さがる,to come down,
下げる,さげる,to hang,
まいる,まいる,to go,
踊り,おどり,dance,
柔らかい,やわらかい,soft,
盗む,ぬすむ,to steal,
時代,じだい,period,
痩せる,やせる,to become thin,
葉,は,leaf,
だいぶ,だいぶ,considerably,
倍,ばい,twice,
建てる,たてる,to build,
会議室,かいぎしつ,conference room,
会議,かいぎ,meeting,
たいてい,たいてい,mostly,
講堂,こうどう,auditorium,
用事,ようじ,tasks,
必要,ひつよう,necessary,
場合,ばあい,case,
郊外,こうがい,suburb,
場所,ばしょ,place,
用,よう,task,
会場,かいじょう,assembly hall,
用意,ようい,preparation,
硬い,かたい,hard,
スーツ,スーツ,suit,
スーツケース,スーツケース,suitcase,
必ず,かならず,always,
講義,こうぎ,lecture,
だいたい,だいたい,"outline, main points, generally",
尋ねる,たずねる,to ask,
起こす,おこす,to raise,
アフリカ,アフリか,Africa,
味,あじ,flavor,
二階建て,にかいだて,two-storied building,
返事,へんじ,reply,
漫画,まんが,cartoon,
一生懸命,いっしょうけんめい,very hard,
だから,だから,so,
堅,けん,strength,
熱,ねつ,heat,
厳しい,きびしい,severe,
ちゃん,ちゃん,suffix for familiar person,
立てる,たてる,to stand up,
規則,きそく,rules,
ちっとも,ちっとも,not at all,
治る,なおる,to be cured,
濡れる,ぬれる,to get wet,
治す,なおす,to cure,
泥棒,どろぼう,thief,
教会,きょうかい,church,
そんな,そんな,such,
心,こころ,"mind, heart",
それに,それに,besides,
それほど,それほど,to that degree,
それで,それで,and,
オートバイ,オートバイ,motorcycle,
代わり,かわり,substitute,
遠慮,えんりょ,reserve,
寝坊,ねぼう,"sleeping in late, oversleeping",
やっと,やっと,at last,
柔道,じゅうどう,judo,
打つ,うつ,to hit,
十分,じゅうぶん,plenty,
漬ける,つける,to soak,
新聞社,しんぶんしゃ,newspaper company,
森,もり,forest,
謝る,あやまる,to apologize,
旅館,りょかん,ryokan,
あんな,あんな,such,
地震,じしん,earthquake,
具合,ぐあい,condition,
下着,したぎ,underwear,
すり,すり,pickpocket,
産業,さんぎょう,industry,
正しい,ただしい,right,
首,くび,neck,
寄る,よる,to approach,
草,くさ,grass,
工業,こうぎょう,industry,
毛,け,"hair, fur",
泊まる,とまる,to stay at,
とうとう,とうとう,finally,
米,こめ,rice,
星,ほし,star,
高等学校,こうとうがっこう,senior high school,
割合,わりあい,rate,
苦い,にがい,bitter,
答え,こたえ,answer,
沸く,わく,to grow hot,
コンピュータ,コンピュータ,computer,
別れる,わかれる,to be divided,
絹,きぬ,silk,
壊れる,こわれる,to be broken,
下宿,げしゅく,boarding,
店員,てんいん,shop assistant,
壊す,こわす,to break,
展覧会,てんらんかい,exhibition,
エスカレーター,エスカレーター,escalator,
高校,こうこう,senior high school,
高校生,こうこうせい,senior high school student,
研究,けんきゅう,study,
研究室,けんきゅうしつ,laboratory,
おかしい,おかしい,funny,
畳,たたみ,tatami mat,
特に,とくに,particularly,
社長,しゃちょう,company president,
特急,とっきゅう,limited express,
坂,さか,slope,
看護師,かんごし,nurse,
一杯,いっぱい,amount necessary to fill a container,
おっしゃる,おっしゃる,to say,
社会,しゃかい,society,
西洋,せいよう,the west,
ケーキ,ケーキ,cake,
留守,るす,absence,
驚く,おどろく,to be surprised,
調べる,しらべる,to examine,
興味,きょうみ,interest,
道具,どうぐ,tool,
捨てる,すてる,to throw away,
鏡,かがみ,mirror,
知らせる,しらせる,to notify,
政治,せいじ,politics,
ピアノ,ピアノ,piano,
レポート,レポート,report,
味噌,みそ,miso,
おかげ,おかげ,"grace, thanks to",
港,みなと,harbour,
なくなる,なくなる,to be lost,
夢,ゆめ,dream,
お見舞い,おみまい,calling on someone who is ill,
眠る,ねむる,to sleep,
眠い,ねむい,sleepy,
運ぶ,はこぶ,to carry,
探す,さがす,to search,
アジア,アジア,asia,
校長,こうちょう,principal,
ご馳走,ごちそう,feast,
ご存じ,ごぞんじ,knowing,
両方,りょうほう,both,
おいでになる,おいでになる,to be,
怖い,こわい,scary,
運転手,うんてんしゅ,driver,
込む,こむ,to be crowded,
ファックス,ファックス,facsimile,
申す,もうす,to say,
泳ぎ方,およぎかた,way of swimming,
残念,ざんねん,deplorable,
お礼,おれい,thanks,
木綿,もめん,cotton,
ガラス,ガラス,glass,
お釣り,おつり,change,
うん,うん,yes,
空港,くうこう,airport,
貿易,ぼうえき,trade,
しばらく,しばらく,little while,
残る,のこる,to remain,
自由,じゆう,freedom,
ご主人,ごしゅじん,your husband,
送る,おくる,to send,
別,べつ,distinction,
空気,くうき,air,
壁,かべ,wall,
アクセサリー,アクセサリー,accessory,
ガソリンスタンド,ガソリンスタンド,gas station,
ガソリン,ガソリン,gasoline,
ガス,ガス,gas,
復習,ふくしゅう,review,
触る,さわる,to touch,
つもり,つもり,intention,
落ちる,おちる,to fall down,
伝える,つたえる,to convey,
棚,たな,shelf,
暮れる,くれる,to get dark,
合う,あう,to come together,
表,おもて,surface,
点,てん,spot,
見える,みえる,to be seen,
景色,けしき,scenery,
スクリーン,スクリーン,screen,
席,せき,seat,
石,いし,stone,
昔,むかし,olden days,
反対,はんたい,opposition,
飾る,かざる,to decorate,
祖母,そぼ,grandmother,
植える,うえる,to plant,
祖父,そふ,grandfather,
お祝い,おいわい,congratulation,
いたす,いたす,to do,
技術,ぎじゅつ,technology,
形,かたち,form,
申し上げる,もうしあげる,to say,
不便,ふべん,inconvenience,
特別,とくべつ,special,
どんどん,どんどん,"drumming boise, rapidly, steadily",
地理,ちり,geography,
深い,ふかい,deep,
恥ずかしい,はずかしい,shy,
いらっしゃる,いらっしゃる,to come,
タイプ,タイプ,type,
布団,ふとん,futon,
行う,おこなう,to perform,
焼く,やく,to burn,
焼ける,やける,to burn,
遅れる,おくれる,to be late,
贈り物,おくりもの,present,
カーテン,カーテン,curtain,
押し入れ,おしいれ,closet,
番組,ばんぐみ,program,
ベル,ベル,bell,
届ける,とどける,to deliver,
砂,すな,sand,
お土産,おみやげ,present,
差し上げる,さしあげる,to give,
林,はやし,woods,
神社,じんじゃ,shinto shrine,
ソフト,ソフト,soft,
消しゴム,けしゴム,eraser,
中学校,ちゅうがっこう,junior high school,
お宅,おたく,your house,
夫,おっと,husband,
パート,パート,part,
着物,きもの,kimono,
ワープロ,ワープロ,word processor,
お嬢さん,おじょうさん,daughter,
生活,せいかつ,living,
しっかり,しっかり,tightly,
生産,せいさん,production,
かける,かける,to hang,
楽しみ,たのしみ,enjoyment,
楽しむ,たのしむ,to enjoy,
適当,てきとう,suitable,
僕,ぼく,I,
仕方,しかた,way,
雲,くも,cloud,
戻る,もどる,to turn back,
生きる,いきる,to live,
隅,すみ,corner,
安全,あんぜん,safety,
はず,はず,"expectation, should happen",
安心,あんしん,relief,
慣れる,なれる,to get used to,
利用,りよう,use,
沸かす,わかす,to boil,
テニス,テニス,tennis,
騒ぐ,さわぐ,to make noise,
払う,はらう,to pay,
田舎,いなか,rural area,
止む,やむ,to cease,
食料品,しょくりょうひん,foodstuff,
複雑,ふくざつ,complex,
やめる,やめる,to stop,
止める,とめる,to stop,
客,きゃく,guest,
選ぶ,えらぶ,to choose,
枝,えだ,branch,
経済,けいざい,economics,
売り場,うりば,place where things are sold,
赤ん坊,あかんぼう,baby,
科学,かがく,science,
赤ちゃん,あかちゃん,baby,
指輪,ゆびわ,ring,
写す,うつす,to transcribe,
力,ちから,force,
受付,うけつけ,reception desk,
家内,かない,my wife,
付く,つく,to be attached,
取り替える,とりかえる,to exchange,
比べる,くらべる,to compare,
引っ越す,ひっこす,to move house,
試験,しけん,examination,
法律,ほうりつ,law,
以外,いがい,with the exception of,
以下,いか,not exceeding,
花見,はなみ,cherry blossom viewing,
迎える,むかえる,to go out to meet,
負ける,まける,to lose,
遊び,あそび,playing,
悲しい,かなしい,sad,
彼女,かのじょ,she,
進む,すすむ,to advance,
昼間,ひるま,daytime,
笑う,わらう,to laugh,
育てる,そだてる,to raise,
紹介,しょうかい,introduction,
冷える,ひえる,to grow cold,
例えば,たとえば,for example,
彼,かれ,he,
浅い,あさい,shallow,
きっと,きっと,surely,
故障,こしょう,breakdown,
アメリカ,アメリカ,America,
日記,にっき,diary,
湖,みずうみ,lake,
戦争,せんそう,war,
日,ひ,day,
天気予報,てんきよほう,weather forecast,
滑る,すべる,to glide,
普通,ふつう,"general, common",
盛ん,さかん,popular,
硬,こう,hardness,
親切,しんせつ,kindness,
髪,かみ,hair,
光,ひかり,light,
辞典,じてん,dictionary,
パソコン,パソコン,personal computer,
親,おや,parent,
光る,ひかる,to shine,
ほとんど,ほとんど,mostly,
足りる,たりる,to be sufficient,
割れる,われる,to break,
交通,こうつう,traffic,
そんなに,そんなに,so much,
足す,たす,to add,
アナウンサー,アナウンサー,announcer,
息子,むすこ,son,
君,きみ,you,
そろそろ,そろそろ,slowly,
君,くん,you,
発音,はつおん,pronunciation,
たまに,たまに,occasionally,
電報,でんぽう,telegram,
火事,かじ,fire,
女性,じょせい,woman,
電灯,でんとう,electric light,
国際,こくさい,international,
乗り物,のりもの,vehicle,
内,うち,inside,
乗り換える,のりかえる,to transfer,
終わり,おわり,the end,
糸,いと,thread,
久しぶり,ひさしぶり,a long time,
警察,けいさつ,police,
落とす,おとす,to drop,
思う,おもう,to think,
値段,ねだん,price,
火,ひ,fire,
非常に,ひじょうに,very,
説明,せつめい,explanation,
泣く,なく,to cry,
間,あいだ,space,
予約,よやく,reservation,
過ぎる,すぎる,to pass through,
増える,ふえる,to increase,
ああ,ああ,like that,
亡くなる,なくなる,to die,
課長,かちょう,section manager,
歯医者,はいしゃ,dentist,
最後,さいご,last,
最初,さいしょ,beginning,
ひどい,ひどい,cruel,
退院,たいいん,leaving hospital,
再来月,さらいげつ,month after next,
予定,よてい,plans,
再来週,さらいしゅう,week after next,
決して,けっして,never,
予習,よしゅう,preparation for a lesson,
最近,さいきん,most recent,
決める,きめる,to decide,
機会,きかい,chance,
上がる,あがる,to rise,
この頃,このごろ,recently,
訪ねる,たずねる,to visit,
これから,これから,after this,
この間,このあいだ,the other day,
いじめる,いじめる,to tease,
確か,たしか,sure,
線,せん,line,
冷房,れいぼう,cooling,
途中,とちゅう,on the way,
台風,たいふう,typhoon,
乾く,かわく,to get dry,
ご覧になる,ごらんになる,to see,
踏む,ふむ,to step on,
けど,けど,but,
逃げる,にげる,to escape,
チェック,チェック,check,
役に立つ,やくにたつ,to be helpful,
噛む,かむ,to bite,
翻訳,ほんやく,translation,
プレゼント,プレゼント,present,
子,こ,child,
腕,うで,arm,
卒業,そつぎょう,graduation,
始める,はじめる,to start,
競争,きょうそう,competition,
都,と,metropolitan,
拾う,ひろう,to pick up,
水道,すいどう,water service,
続ける,つづける,to continue,
続く,つづく,to continue,
音,おと,sound,
サラダ,サラダ,salad,
暖房,だんぼう,indoor heating,
都合,つごう,circumstances,
ハンドバッグ,ハンドバッグ,handbag,
折る,おる,to break,
折れる,おれる,to break,
水泳,すいえい,swimming,
召し上がる,めしあがる,to eat,
ひげ,ひげ,moustache,
以内,いない,within,
勝つ,かつ,to win,
引き出す,ひきだす,to pull out,
引き出し,ひきだし,drawer,
一度,いちど,once,
簡単,かんたん,simple,
以上,いじょう,not less than,
塗る,ぬる,to paint,
急,きゅう,urgent,
試合,しあい,match,
急ぐ,いそぐ,to hurry,
急行,きゅうこう,moving at high speed,
今度,こんど,next time,
島,しま,island,
似る,にる,to resemble,
億,おく,hundred million,
ため,ため,good,
なさる,なさる,to do,
文学,ぶんがく,literature,
事務所,じむしょ,office,
文化,ぶんか,culture,
褒める,ほめる,to praise,
飛行場,ひこうじょう,airfield,
忘れ物,わすれもの,lost article,
気,き,"spirit, mind, mood",
変わる,かわる,to change,
駐車場,ちゅうしゃじょう,parking lot,
変,へん,strange,
変える,かえる,to change,
血,ち,blood,
もうすぐ,もうすぐ,very soon,
注射,ちゅうしゃ,injection,
手伝う,てつだう,to help,
注意,ちゅうい,caution,
虫,むし,insect,
部長,ぶちょう,section head,
または,または,or,
くれる,くれる,to give,
捕まえる,つかまえる,to catch,
帰り,かえり,return,
動物園,どうぶつえん,zoo,
手袋,てぶくろ,glove,
人口,じんこう,population,
歴史,れきし,history,
さっき,さっき,some time ago,
入院,にゅういん,hospitalization,
昼休み,ひるやすみ,lunch break,
入学,にゅうがく,entry to school or university,
動く,うごく,to move,
人形,にんぎょう,doll,
品物,しなもの,goods,
アルバイト,アルバイト,part-time job,
集める,あつめる,to collect,
集まる,あつまる,to gather,
アルコール,アルコール,alcohol,
市民,しみん,citizen,
公務員,こうむいん,government worker,
数学,すうがく,mathematics,
珍しい,めずらしい,unusual,
見物,けんぶつ,sightseeing,
将来,しょうらい,future,
踊る,おどる,to dance,
サンドイッチ,サンドイッチ,sandwich,
習慣,しゅうかん,habit,
小学校,しょうがっこう,primary school,
わけ,わけ,conclusion from reasoning,
サンダル,サンダル,sandal,
関係,かんけい,relation,
市,し,city,
約束,やくそく,promise,
海岸,かいがん,coast,
倒れる,たおれる,to fall,
はっきり,はっきり,clearly,
意見,いけん,opinion,
間に合う,まにあう,to be in time for,
間違える,まちがえる,to make a mistake,
怒る,おこる,to get angry,
船,ふね,ship,
事故,じこ,accident,
コンサート,コンサート,concert,
男子,だんし,"youth, boy",
男の人,おとこのひと,man,
成人,せいじん,adult,
成績,せいせき,results,
慎重,しんちょう,careful,
成長,せいちょう,growth,
気づく,きづく,to notice,
寄付,きふ,contribution,
医師,いし,doctor,
汚染,おせん,pollution,
向ける,むける,to turn towards,
隠れる,かくれる,to be hidden,
隠す,かくす,to hide,
スピーチ,スピーチ,speech,
売れる,うれる,to sell,
やはり,やはり,too,
迷惑,めいわく,trouble,
効く,きく,to be effective,
心理,しんり,state of mind,
いずれ,いずれ,"where, which, who, anyhow, eventually",
咳,せき,cough,
成功,せいこう,success,
器用,きよう,"skilful, clever",
害,がい,injury,
当てる,あてる,"to hit, expose, apply, hold on",
当たる,あたる,"to be hit, be strike, be in contact",
体温,たいおん,temperature,
体育,たいいく,physical education,
よると,よると,according to,
迷子,まいご,lost child,
向く,むく,to face,
平等,びょうどう,equality,
金曜,きんよう,Friday,
