Kanji,Expression,Author,Name,Words
沈,A WATER LAME was SINKED and SUBMERGED,CHIN,shizu,沈む。沈黙。沈没。沈める。沈着
販,"A SHELLFISH that is ANTI is MARKETING, SELLING, TRADING",HAN,.,販売。市販。通販。自販機。量販店
欧,A WARD that LACKS is EUROPE,OU,.,欧米。北欧。欧州。西欧。訪欧
砂,The STONE which are FEW are the SAND,"SA, SHA",suna,砂糖。砂。砂漠。砂利。砂浜
尊,An ANTENNA connected the WEST has a MEASUREMENT that is VALUABLE and PRECIOUS,SON,"tatto, touto",尊敬。尊重。尊い。尊厳。自尊心
紅,A THREAD CRAFT is DEEP RED,KOU,"kurenai, beni",紅茶。紅葉。口紅。紅白。紅潮
複,A DRESS REPEAT is DUPLICATED or DOUBLED,FUKU,.,複数。複写。複雑。複製。複合
泊,A WATER that is WHITE STAYS OVERNIGHT,HAKU,to,泊まる。宿泊。泊める。停泊。延泊
荷,A GRASS WHAT is the LUGGAGE,KA,ni,荷物。荷造り。負荷。重荷。出荷
枝,A TREE SUPPORT is the BRANCH,SHI,eda,枝 。枯れ枝。枝毛。 爪楊枝。枝豆
依,"A PERSON has GARMENTS, DRESS or CLOTHES that is RELIANT and DEPEND ON",I,yo,依頼。依存。依然。依存症。依頼人
幼,A SHORT THREAD POWER is still VERY YOUNG or still an INFANT,YOU,osana,幼稚園 。幼い。幼児。 幼稚。 幼少
斬,A CAR and AXE can KILL,ZAN,ki,斬新 。斬る。 斬首。 斬奸。斬撃
勇,A MALE with MA accent have COURAGE and BRAVERY,YUU,isa,勇気 。勇ましい。 勇敢。 勇者。勇士
昇,A DAY with a MEASURING BOX is RISING,SHOU,nobu,上昇 。昇進。 昇華。昇給。昇格
寿,The number THREE was CUT and MEASURED into LONGEVITY,JU,kotobuki,寿命 。長寿。寿司。天寿。福寿
菜,A GRASS with a CLAW TREE is a VEGEtABLE,SAI,na,野菜 。菜園。白菜。青菜。山菜
季,A TWO BRANCH TREE with a CHILD indicate the SEASONS,KI,.,季節 。四季。雨季。乾季。冬季
液,A WATER in the NIGHT produce LIQUIDS,EKI,.,液体 。血液。溶液。液晶。精液
券,A SHOGUN HAT with a SWORD equals to a TICKET ,KEN,.,定期券 。回数券。旅券。入場券。債券
祭,A DECORATED ROOF incorporated with SHOWS is a RITUAL or a FESTIVAL,SAI,matsu,祭り 。祭日。祭る。祭壇。祭典
