Words,Meaning,Reading,Expression,Translation,Sentence,Hint.1,Hint.2
一般,general・universal,いっぱん,一般な知識,General knowledge,,,
可能,possible・potential,かのう,可能な選択肢,Possible options,,,
具体的,concrete・tangible・definite・specific,ぐたいてき,具体的な例,Concrete example,,,
自然,natural・spontaneous,しぜん,自然な風景,Natural scenery,,,
好き,liked・well-liked・favourite,すき,好きな本 ,Favorite book,,,
確か,sure・certain・positive・definite​,たしか,確かな証拠 ,Certain evidence,,,
重要,important・momentous・essential,じゅうよう,重要な役割,Important role,,,
十分,enough・sufficient・plenty・adequate,じゅうぶん,十分な時間,Enough time,,,
様々,various・varied・diverse・all sorts of​,さまざま,様々な人々,Various people,,,
嫌,disagreeable・detestable・unpleasant,いや,嫌な匂い,Unpleasant smell,,,
大変,immense・enormous・great​・serious,たいへん,大変な仕事 ,Hard work,,,
簡単,simple・easy・uncomplicated​・brief,かんたん,簡単な問題,Easy problem,,,
明らか,clear・obvious・evident・plain・bright,あきらか,明らかな違い,Obvious difference,,,
非常,emergency​・extraordinary・unusual ,ひじょう,非常な事態,Emergency situation,,,
大切,important・necessary・indispensable​,たいせつ,大切な友達,Precious friend,,,
同様,same・similar・just like・equal​,どうよう,同様な効果 ,Similar effect,,,
完全,perfect・complete​,かんぜん,完全な回答 ,Complete answer,,,
大丈夫,safe・secure・sound,だいじょうぶ,大丈夫な状態,Okay condition,,,
奇麗,pretty・beautiful・clean・clear・tidy・neat ,きれい,奇麗な花,Beautiful flower,,,
特別,special・particular・extraordinary,とくべつ,特別な日,Special day,,,
大事,important・serious・crucial・valuable,だいじ,大事なこと,Important thing,,,
有名,famous​,ゆうめい,有名な人,Famous person,,,
新た,new・fresh・novel​,あらた,新たな始まり,New beginning,,,
相当,appropriate・suitable・befitting,そうとう,相当な努力,Considerable effort,,,
静か,quiet・silent・​unhurried・calm,しずか,静かな場所,Quiet place,,,
如何,questionable​,いかが,如何なる状況,Any situation,,,
豊か,abundant・wealthy・plentiful・very・extremely,ゆたか,豊かな自然,Rich nature,,,
明確,clear・precise・definite・distinct​,めいかく,明確な目標,Clear goal,,,
有効,valid・effective​,ゆうこう,有効な方法,Effective method,,,
遥か,far away・far off・far・distant・long ago,はるか,遥かな夢,Distant dream,,,
単純,simple・plain・uncomplicated,たんじゅん,単純な答え,Simple answer,,,
確実,certain・sure・definite・reliable,かくじつ,確実な結果,Certain result,,,
残念,deplorable・regrettable・disappointing,ざんねん,残念なニュース,Unfortunate news,,,
巨大,huge・gigantic・enormous​,きょだい,巨大な建物 ,Huge building,,,
意外,unexpected・surprising​,いがい,意外な発見,Unexpected discovery,,,
立派,splendid・fine・handsome・elegant,りっぱ,立派な人物,Admirable person,,,
特殊,special・particular・peculiar・unique,とくしゅ,特殊な能力,Special ability,,,
見事,splendid・magnificent・excellent・fine,みごと,見事な芸術作品,Dplendid artwork,,,
多様,diverse・varied​,たよう,多様な文化,Diverse culture,,,
高度,"high-degree, high-grade",こうど,,,,,
当たり前,"natural, reasonable, obvious​, usual, common",あたりまえ,,,,,
容易,"easy, simple, plain​",ようい,,,,,
懸命,"eager, earnest, strenuous, fervent",けんめい,,,,,
適切,"appropriate, suitable, fitting",てきせつ,,,,,
上手,"skillful, skilled, proficient",じょうず,,,,,
同一,"identical, same, fair",どういつ,,,,,
独自,"original, unique, distinctive",どくじ,,,,,
大好き,"loveable, very likeable",だいすき,,,,,
真面目,"serious, honest, sober, grave",まじめ,,,,,
必死,"frantic, frenetic, desperate​",ひっし,,,,,
素直,"obedient, meek, docile, unaffected​",すなお,,,,,
丁寧,"polite, courteous, civil​, careful",ていねい,,,,,
幼稚,"childish, infantile, immature",ようち,,,,,
主要,"chief, main, principal, major​",しゅよう,,,,,
盛ん,"prosperous, successful​, popular, active",さかん,,,,,
余計,"too many, too much, excessive",よけい,,,,,
直,"direct, being straight, in person, frankness",ちょく,,,,,
重大,"serious, important, significant",じゅうだい,,,,,
急速,rapid (e.g. progress)​,きゅうそく,,,,,
曖昧,"vague, ambiguous, unclear​",あいまい,,,,,
正式,"due form, official,  formal",せいしき,,,,,
奇妙,"strange, odd, peculiar",きみょう,,,,,
知的,intellectual​,ちてき,,,,,
微か,"faint, dim, weak",かすか,,,,,
真っ直ぐ,"straight, direct, upright, straightforward, frank",まっすぐ,,,,,
深刻,"serious, severe",しんこく,,,,,
貴重,"precious, valuable",きちょう,,,,,
微妙,"subtle, delicate, fine, complex, doubtful",びみょう,,,,,
有力,"influential, prominent, strong",ゆうりょく,,,,,
可哀想,"poor, pitiable, pathetic",かわいそう,,,,,
純粋,"pure, true, genuine",じゅんすい,,,,,
新規,"new, fresh",しんき,,,,,
穏やか,"calm, quiet, gentle, moderate",おだやか,,,,,
公的,"public, official",こうてき,,,,,
熱心,"enthusiastic, keen, eager",ねっしん,,,,,
素敵,"lovely, wonderful",すてき,,,,,
強力,"powerful, strong",きょうりょく,,,,,
法的,legal,ほうてき,,,,,
密か,"secret, private",ひそか,,,,,
透明,"transparent, clear",とうめい,,,,,
独特,"peculiarity, uniqueness, characteristic",どくとく,,,,,
高等,"high class, high grade",こうとう,,,,,
不可欠,"indispensable, essential",ふかけつ,,,,,
身近,"near oneself, familiar",みぢか,,,,,
豊富,"abundant, plentiful",ほうふ,,,,,
有利,"advantageous, favourable, profitable",ゆうり,,,,,
優秀,"superior, excellent",ゆうしゅう,,,,,
稀,"rare, seldom",まれ,,,,,
活発,"lively, active, animated",かっぱつ,,,,,
夢中,"absorbed in, immersed in, crazy about",むちゅう,,,,,
頻繁,"frequent, incessant",ひんぱん,,,,,
不要,"unnecessary, unneeded",ふよう,,,,,
大幅,"big, large, drastic",おおはば,,,,,
滅多,"thoughtless, reckless, seldom",めった,,,,,
偉大,"great, grand",いだい,,,,,
強烈,"intense, strong, severe",きょうれつ,,,,,
増し,"better, preferable",まし,,,,,
真っ赤,deep red,まっか,,,,,
鮮やか,"vivid, bright, skillful",あざやか,,,,,
新鮮,fresh,しんせん,,,,,
不当,"injustice, impropriety, unfair",ふとう,,,,,
急激,"abrupt, sudden",きゅうげき,,,,,
私的,"private, personal",してき,,,,,
肝心,"essential, important, crucial",かんじん,,,,,
特有,"characteristic of, peculiar to",とくゆう,,,,,
グローバル,global,グローバル,,,,,
単独,"sole, single, solo",たんどく,,,,,
無数,innumerable,むすう,,,,,
適正,"reasonable, suitable",てきせい,,,,,
巧み,"skillful, dexterous, clever",たくみ,,,,,
バラバラ,"scattered, disperse, loose",バラバラ,,,,,
気の毒,"pitiful, unfortunate",きのどく,,,,,
早め,"early, little earlier than usual",はやめ,,,,,
広大,"vast, extensive, immense",こうだい,,,,,
順調,"favourable, all right",じゅんちょう,,,,,
最適,most suitable,さいてき,,,,,
不法,"unlawful, illegal",ふほう,,,,,
厳密,"strict, close, precise",げんみつ,,,,,
大胆,"bold, daring, audacious",だいたん,,,,,
異様,"bizarre, strange, odd",いよう,,,,,
柔軟,"flexible, soft, pliable",じゅうなん,,,,,
性的,relating to gender,せいてき,,,,,
健全,"healthy, sound",けんぜん,,,,,
強引,"overbearing, coercive, pushy",ごういん,,,,,
華やか,"showy, brilliant, gorgeous",はなやか,,,,,
別々,separate,べつべつ,,,,,
顕著,"remarkable, striking",けんちょ,,,,,
的確,"precise, accurate, appropriate",てきかく,,,,,
スムーズ,smooth,スムーズ,,,,,
丈夫,"healthy, robust, solid",じょうぶ,,,,,
密接,"close, intimate",みっせつ,,,,,
迅速,"quick, fast, swift",じんそく,,,,,
シンプル,"simple, plain",シンプル,,,,,
忠実,"faithful, devoted, loyal",ちゅうじつ,,,,,
大袈裟,"grandiose, exaggerated",おおげさ,,,,,
緩やか,"loose, slack, gentle, slow, lenient",ゆるやか,,,,,
無縁,"unrelated, unconnected, irrelevant",むえん,,,,,
率直,"frank, candid, straightforward",そっちょく,,,,,
賑やか,"bustling, busy, prosperous",にぎやか,,,,,
漠然,"vague, obscure, indistinct",ばくぜん,,,,,
明白,"obvious, clear",めいはく,,,,,
爽やか,"fresh, refreshing, invigorating, clear, fluent",さわやか,,,,,
温暖,"warm, mild, temperate",おんだん,,,,,
愚か,"foolish, stupid, silly",おろか,,,,,
人的,"human, personal",じんてき,,,,,
真っ白,pure white,まっしろ,,,,,
対等,"equal footing, equal terms",たいとう,,,,,
前向き,"facing forward, front-facing",まえむき,,,,,
露わ,"exposed, bare",あらわ,,,,,
有害,"harmful, hazardous",ゆうがい,,,,,
惨め,"miserable, wretched",みじめ,,,,,
間近,"proximity, nearness, soon, nearby",まぢか,,,,,
過激,"extreme, radical",かげき,,,,,
器用,"skillful, dexterous, nimble",きよう,,,,,
速やか,"quick, speedy, prompt",すみやか,,,,,
気楽,"carefree, comfortable, easy-going",きらく,,,,,
ビッグ,big,ビッグ,,,,,
無難,"safe, secure, acceptable, passable",ぶなん,,,,,
柔らか,"soft, tender, supple, subdued",やわらか,,,,,
安易,"easy, simple, easygoing, lighthearted",あんい,,,,,
陽気,"cheerful, merry",ようき,,,,,
著名,"well-known, noted, celebrated",ちょめい,,,,,
気軽,"carefree, buoyant, lighthearted",きがる,,,,,
猛烈,"fierce, intense, severe",もうれつ,,,,,
自在,doing at will​,じざい,,,,,
簡易,"simplicity, convenience, easiness",かんい,,,,,
真っ暗,"pitch dark, bleak future",まっくら,,,,,
上品,"elegant, refined, polished, stylish, high-quality goods",じょうひん,,,,,
鮮明,"vivid, clear, distinct",せんめい,,,,,
同等,"equality, equal, same rights",どうとう,,,,,
明瞭,"clear, plain, distinct, obvious",めいりょう,,,,,
密,"dense, thick, crowded, intimate",みつ,,,,,
厳格,"strict, severe, stern, rigid",げんかく,,,,,
真っ黒,pitch black,まっくろ,,,,,
端的,"frank, direct, plain, straightforward",たんてき,,,,,
粗末,"crude, rough, plain, humble, shabby​",そまつ,,,,,
執拗,"persistent, tenacious",しつよう,,,,,
ぼろぼろ,"worn-out, ragged, tattered",ぼろぼろ,,,,,
滑らか,"smooth, glassy, velvety, fluent, fluid",なめらか,,,,,
平ら,"flat, level, even, smooth, calm, tranquil",たいら,,,,,
未熟,"unripe, green",みじゅく,,,,,
切,"eager, earnest",せつ,,,,,
内的,"inner, intrinsic, mental, inherited",ないてき,,,,,
良好,"good, fine, excellent, favorable",りょうこう,,,,,
一様,"uniform, equal, even, common",いちよう,,,,,
細やか,"small, little, tiny, insignificant",ささやか,,,,,
安価,"low-priced, cheap, inexpensive",あんか,,,,,
尋常,"common, usual",じんじょう,,,,,
頑固,"stubborn, obstinate",がんこ,,,,,
厳重,"strict, severe, stringent, rigorous",げんじゅう,,,,,
過度,"excessive, immoderate",かど,,,,,
円滑,"smooth, undisturbed, uninterrupted",えんかつ,,,,,
壮大,"magnificent, grand, majestic",そうだい,,,,,
淡々,"uninterested, unconcerned, indifferent",たんたん,,,,,
格別,"particular, special, exceptional, especial",かくべつ,,,,,
外的,"external, outside",がいてき,,,,,
広範,"wide, extensive, comprehensive",こうはん,,,,,
ユニーク,unique,ユニーク,,,,,
劇的,"dramatic, exciting, touching",げきてき,,,,,
適度,moderate,てきど,,,,,
ドライ,dry,どらい,,,,,
単一,"single, simple, sole, individual",たんいつ,,,,,
巧妙,"ingenious, skillful, clever",こうみょう,,,,,
手軽,"easy, simple, informal, offhand, cheap",てがる,,,,,
露骨,"frank, blunt, plain, explicit, broad, lewd",ろこつ,,,,,
抜群,"distinction, extraordinariness, outstanding",ばつぐん,,,,,
定か,"definite, sure",さだか,,,,,
控えめ,"moderate, reserved, conservative",ひかえめ,,,,,
明快,"clear, clear-cut, lucid",めいかい,,,,,
多彩,"variegated, multi-coloured, diverse",たさい,,,,,
希薄,"thin, diluted, lacking",きはく,,,,,
旺盛,full of vim and vigor,おうせい,,,,,
巨額,great sum,きょがく,,,,,
着実,"steady, sound, trustworthy, solid",ちゃくじつ,,,,,
細か,"small, fine, detailed, stingy",こまか,,,,,
多大,"heavy, much",ただい,,,,,
良質,"good quality, fine quality, superior quality",りょうしつ,,,,,
唐突,"abrupt, sudden",とうとつ,,,,,
質的,qualitative,しつてき,,,,,
大まか,"rough, broad, general, loose",おおまか,,,,,
強硬,"firm, vigorous, unbending, unyielding, strong",きょうこう,,,,,
無残,"cruelty, atrocity, cold-bloodedness, tragedy",むざん,,,,,
裕福,"affluence, prosperity",ゆうふく,,,,,
濃厚,"rich, thick, dense, strong",のうこう,,,,,
強固,"firmness, stability, security, strength",きょうこ,,,,,
暢気,"carefree, optimistic, careless, reckless",のんき,,,,,
悪質,"bad quality, malignancy, vicious, malignant",あくしつ,,,,,
不可解,"mystery, baffling, inexplicable, incomprehensible",ふかかい,,,,,
窮屈,"narrow, tight, cramped",きゅうくつ,,,,,
緊密,"rigour, rigor, closeness, compactness",きんみつ,,,,,
無闇,"thoughtless, reckless, rash, indiscriminate, unreasonable",むやみ,,,,,
早急,"immediate, prompt, quick, rapid, urgent, pressing",さっきゅう,,,,,
冷ややか,"cold, chilly, cool, indifferent, cold-hearted",ひややか,,,,,
必要,"necessary, needed, essential",ひつよう,,,,,
入念,"careful, elaborate, scrupulous",にゅうねん,,,,,
怪訝,"dubious, puzzled, suspicious",けげん,,,,,
大雑把,"rough, not precise, broad, sketchy",おおざっぱ,,,,,
頑丈,"solid, firm, stout, burly, strong, sturdy",がんじょう,,,,,
切実,"compelling, serious, severe, acute, earnest",せつじつ,,,,,
勇敢,"brave, heroic, gallant",ゆうかん,,,,,
気掛かり,"anxiety, concern, worry",きがかり,,,,,
盛大,"grand, magnificent, lavish; large scale, powerfull",せいだい,,,,,
長閑,"tranquil, calm, quiet, peaceful",のどか,,,,,
量的,quantitative,りょうてき,,,,,
曖昧,"vague, ambiguous, unclear, fuzzy",あいまい,,,,,
裏腹,"opposite, reverse, contrary",うらはら,,,,,
整然,"orderly, regular, systematic, well-organized",せいぜん,,,,,
下品,"vulgarity, meanness, indecency, coarseness",げひん,,,,,
可憐,"sweet, touchingly lovely, cute",かれん,,,,,
小まめ,"taking care, working well, frequent",こまめ,,,,,
手頃,"moderate, handy, convenient, reasonable",てごろ,,,,,
虚ろ,"cavity, hollow, void",うつろ,,,,,
繁華,"bustle, prosperity",はんか,,,,,
丹念,"assiduity, diligence, application",たんねん,,,,,
高め,"high, expensive",たかめ,,,,,
簡素,"simplicity, plain",かんそ,,,,,
美妙,"elegant, exquisite",びみょう,,,,,
寛大,"tolerant, generous, lenient, broad-minded",かんだい,,,,,
利口,"clever, intelligent, wise, bright",りこう,,,,,
有数,"prominent, leading, foremost, distinguished",ゆうすう,,,,,
安らか,"peaceful, tranquil, calm, restful",やすらか,,,,,
零細,"insignificant, trifling, paltry",れいさい,,,,,
周到,"scrupulous, meticulous, careful",しゅうとう,,,,,
自由,"freedom, liberty, as it pleases you",じゆう,,,,,
積極的,"assertive, positive, active, proactive",せっきょくてき,,,,,
共通,"commonness, community",きょうつう,,,,,
緊急,"urgent, pressing, emergency",きんきゅう,,,,,
複雑,"complex, complicated, mixed",ふくざつ,,,,,
凶悪,"atrocious, fiendish, brutal, villainous",きょうあく,,,,,
苛酷,"severe, harsh, hard, cruel, rigorous",かこく,,,,,
遺憾,"regrettable, unsatisfactory, deplorable",いかん,,,,,
斯様,"this sort of, of this kind, of the sort, such​",かよう,,,,,
安楽,"ease, comfort, carefree, cosy, cozy",あんらく,,,,,
艶やか,"glamorous, charming, fascinating, bewitching",あでやか,,,,,
足早,"quick-footed, light-footed, quick pace",あしばや,,,,,
霊的,"spiritual, incorporeal",れいてき,,,,,
地道,"steady, honest, sober, straightforward",じみち,,,,,
仄か,faint・indistinct・dim・vague・subtle・delicate​,ほのか,仄かな光,Faint light,,,
格安,cheap・reasonable・inexpensive・bargain,かくやす,格安なチケット,Cheap ticket,,,
細心,meticulous・careful・discreet,さいしん,細心な注意,Meticulous attention,,,
真摯,sincere・earnest,しんし,真摯な態度,Sincere attitude,,,
陰気,gloomy・dismal・miserable・melancholy,いんき,陰気な雰囲気,Gloomy atmosphere,,,
病的,abnormal,びょうてき,病的な執着,Pathological obsession,,,
絶大,tremendous・immense,ぜつだい,絶大な影響力,Tremendous influence,,,
過酷,severe・harsh・hard・cruel・rigorous,かこく,過酷な環境 ,Harsh environment,,,
円満,perfection・harmony・peace・smoothness,えんまん,円満な関係,Harmonious relationship,,,
美的,esthetic・aesthetic,びてき,美的な感覚,Aesthetic sense,,,
淫ら,indecent・obscene・improper,みだら,淫らな行為,Lewd act,,,
疎ら,sparse・thin・scattered・straggling・sporadic,まばら,疎らな人口,Sparse population,,,
達者,in good health・robust・skilled・clever・proficient,たっしゃ,達者な話術,Skillful rhetoric,,,
清らか,clean・pure・chaste,きよらか,清らかな心,Pure heart,,,
清潔,clean・hygienic・sanitary・pure・virtuous・immaculate,せいけつ,清潔な服装,Clean attire,,,
不潔,unclean・dirty・filthy・impure,ふけつ,不潔な手,Dirty hands,,,
簡潔,concise・brief・compact,かんけつ,簡潔な説明,Concise explanation,,,
潔白,innocent・upright・pure,けっぱく,潔白な証明,Proof of innocence,,,
高潔,noble・high-minded・virtuous・upright,こうけつ,高潔な人格,Noble character,,,
純潔,pure・ chaste,じゅんけつ,純潔な乙女,Chaste maiden,,,
潔癖,fastidious・clean,けっぺき,潔癖な性格,Fastidious personality,,,
廉潔,honest・incorruptible・integrity,れんけつ,廉潔な政治家,Honest politician,,,
