Exp,Freq,Word,Meaning,Type
262 人たち people,262,人たち,people,Noun
263 今日 today,263,今日,today,Noun
264 昔 ancient.times-in.the.past-once,264,昔,ancient.times-in.the.past-once,Noun
266 すべて everything-all,266,すべて,everything-all,Noun
268 子 child,268,子,child,Noun
273 水 water,273,水,water,Noun
274 当時 then-at.that.time,274,当時,then-at.that.time,Noun
275 場所 place.spot,275,場所,place.spot,Noun
279 声 voice,279,声,voice,Noun
282 最後 last-end,282,最後,last-end,Noun
283 車 car-wheel,283,車,car-wheel,Noun
285 今度 this.time-next.time,285,今度,this.time-next.time,Noun
286 体 body,286,体,body,Noun
293 男 man-male,293,男,man-male,Noun
294 女性 woman-female,294,女性,woman-female,Noun
295 学校 school,295,学校,school,Noun
298 先 end-front,298,先,end-front,Noun
301 テーマ theme-subject,301,テーマ,theme-subject,Noun
302 世界 world,302,世界,world,Noun
303 状態 state-conditions,303,状態,state-conditions,Noun
312 アメリカ America,312,アメリカ,America,Noun
315 相手 companion-partner,315,相手,companion-partner,Noun
316 母 mother,316,母,mother,Noun
317 以上 more.than-mentioned-above-since,317,以上,more.than-mentioned-above-since,Noun
318 関係 relationship-connection,318,関係,relationship-connection,Noun
319 四 four,319,四,four,Noun
321 店 store-shop,321,店,store-shop,Noun
323 頭 head,323,頭,head,Noun
324 電話 telephone-call-phone,324,電話,telephone-call-phone,Noun
327 本 book,327,本,book,Noun
332 夜 night-evening,332,夜,night-evening,Noun
334 者 person-people,334,者,person-people,Noun
335 タイトル title,335,タイトル,title,Noun
336 親 parent,336,親,parent,Noun
337 名前 name,337,名前,name,Noun
339 皆さん everybody-everyone,339,皆さん,everybody-everyone,Noun
347 家族 family,347,家族,family,Noun
349 部分 part-section,349,部分,part-section,Noun
350 一度 once,350,一度,once,Noun
351 結果 result,351,結果,result,Noun
353 状況 state.of.affairs-situation,353,状況,state.of.affairs-situation,Noun
354 時代 time-era,354,時代,time-era,Noun
356 他 another-other,356,他,another-other,Noun
359 東京 Tokyo,359,東京,Tokyo,Noun
365 父 father,365,父,father,Noun
367 それぞれ each,367,それぞれ,each,Noun
368 方法 way-method,368,方法,way-method,Noun
369 はず ought to-should,369,はず,ought,Noun
370 説明 explanation-explain,370,説明,explanation-explain,Noun
372 部屋 room,372,部屋,room,Noun
374 当然 naturally-as.a.matter.of.course,374,当然,naturally-as.a.matter.of.course,Noun
375 大学 university-college,375,大学,university-college,Noun
377 実 truth-true-real,377,実,truth-true-real,Noun
378 朝 morning,378,朝,morning,Noun
385 勉強 study-learn-study,385,勉強,study-learn-study,Noun
387 下 under-below-down-low,387,下,under-below-down-low,Noun
389 まわり circumference-surroundings-around,389,まわり,circumference-surroundings-around,Noun
390 犬 dog,390,犬,dog,Noun
395 力 power-strength,395,力,power-strength,Noun
398 理由 reason,398,理由,reason,Noun
399 女 woman-female,399,女,woman-female,Noun
403 今回 this.time,403,今回,this.time,Noun
405 人生 life,405,人生,life,Noun
406 通り street-as,406,通り,street-as,Noun
407 内容 contents,407,内容,contents,Noun
408 テレビ television,408,テレビ,television,Noun
409 経験 experience,409,経験,experience,Noun
410 木 wood-tree,410,木,wood-tree,Noun
411 点 point-score,411,点,point-score,Noun
412 自然 nature-natural-naturally,412,自然,nature-natural-naturally,Noun
413 音 sound-noise,413,音,sound-noise,Noun
414 海 sea-ocean,414,海,sea-ocean,Noun
417 利用 use-utilization-utilize,417,利用,use-utilization-utilize,Noun
419 一杯 cup.ful.glass.ful-be.full.of,419,一杯,cup.ful.glass.ful-be.full.of,Noun
420 近く near-nearby,420,近く,near-nearby,Noun
422 共 with-together,422,共,with-together,Noun
423 存在 existence-exist,423,存在,existence-exist,Noun
424 絶対 absolute-absolutely-whatever,424,絶対,absolute-absolutely-whatever,Noun
425 日本人 japanese.person,425,日本人,japanese.person,Noun
427 足 foot-leg,427,足,foot-leg,Noun
431 写真 picture-photo,431,写真,picture-photo,Noun
432 子供たち children,432,子供たち,children,Noun
434 二つ two,434,二つ,two,Noun
436 五 five,436,五,five,Noun
437 多く many-most,437,多く,many-most,Noun
439 英語 english.language,439,英語,english.language,Noun
442 口 mouth,442,口,mouth,Noun
444 姿 figure-shape-appearance,444,姿,figure-shape-appearance,Noun
446 時期 time-period-season,446,時期,time-period-season,Noun
447 逆 contrary-opposite,447,逆,contrary-opposite,Noun
451 人々 people,451,人々,people,Noun
452 道 way-road,452,道,way-road,Noun
455 思い thought-mind-heart,455,思い,thought-mind-heart,Noun
459 山 mountain,459,山,mountain,Noun
460 程度 degree-grade-level-limit,460,程度,degree-grade-level-limit,Noun
464 昭和 showa.era,464,昭和,showa.era,Noun
468 影響 influence-affect,468,影響,influence-affect,Noun
469 病院 hospital-clinic,469,病院,hospital-clinic,Noun
470 年 year-age,470,年,year-age,Noun
471 花 flower,471,花,flower,Noun
473 情報 information,473,情報,information,Noun
475 友人 friend,475,友人,friend,Noun
478 先程 a.short.while.ago,478,先程,a.short.while.ago,Noun
479 一回 once,479,一回,once,Noun
483 無人島 uninhabited.island,483,無人島,uninhabited.island,Noun
489 結婚 marriage-marry,489,結婚,marriage-marry,Noun
492 歴史 history,492,歴史,history,Noun
494 音楽 music,494,音楽,music,Noun
496 外 outside,496,外,outside,Noun
499 嫌 unpleasant-disagreeable,499,嫌,unpleasant-disagreeable,Noun
500 駅 station,500,駅,station,Noun
503 映画 movie,503,映画,movie,Noun
504 身 body-oneself-position,504,身,body-oneself-position,Noun
505 客 guest-visitor-customer,505,客,guest-visitor-customer,Noun
506 質問 question,506,質問,question,Noun
508 地域 region-area,508,地域,region-area,Noun
512 娘 daughter,512,娘,daughter,Noun
514 一日 a.day-the.day-one.day,514,一日,a.day-the.day-one.day,Noun
515 今年 this.year,515,今年,this.year,Noun
516 平成 heisei.era,516,平成,heisei.era,Noun
517 図 drawing-figure-diagram,517,図,drawing-figure-diagram,Noun
518 紹介 introduction,518,紹介,introduction,Noun
521 夢 dream,521,夢,dream,Noun
523 規定 regulations-stipulations-prescribe,523,規定,regulations-stipulations-prescribe,Noun
525 中心 center,525,中心,center,Noun
528 お母さん mother-mom,528,お母さん,mother-mom,Noun
 531 色 color,531,色,color,Noun
534 興味 interest,534,興味,interest,Noun
535 三つ three,535,三つ,three,Noun
539 変化 change-vary,539,変化,change-vary,Noun
540 印象 impression,540,印象,impression,Noun
541 作品 work-production,541,作品,work-production,Noun
543 参加 participation,543,参加,participation,Noun
544 夏 summer,544,夏,summer,Noun
546 理解 understanding,546,理解,understanding,Noun
548 中国 china,548,中国,china,Noun
550 母親 mother,550,母親,mother,Noun
553 目的 purpose,553,目的,purpose,Noun
558 一方 one.side-on.the.other.side,558,一方,one.side-on.the.other.side,Noun
559 病気 sickness-illness,559,病気,sickness-illness,Noun
560 心配 anxious-anxiety-worry,560,心配,anxious-anxiety-worry,Noun
562 イメージ image,562,イメージ,image,Noun
563 笑い laugh-laughter,563,笑い,laugh-laughter,Noun
564 午後 afternoon-p.m.,564,午後,afternoon-p.m.,Noun
565 後 after-later-since,565,後,after-later-since,Noun
567 主人 shop.owner-husband,567,主人,shop.owner-husband,Noun
571 環境 environment,571,環境,environment,Noun
572 応対 correspondence-response,572,応対,correspondence-response,Noun
574 高校 high.school,574,高校,high.school,Noun
575 食事 meal-have.a.meal,575,食事,meal-have.a.meal,Noun
577 辺 region-area-around,577,辺,region-area-around,Noun
580 火 fire,580,火,fire,Noun
581 実施 operation-enforce-conduct,581,実施,operation-enforce-conduct,Noun
583 社会 society,583,社会,society,Noun
584 練習 practice-training,584,練習,practice-training,Noun
585 使用 use,585,使用,use,Noun
588 企業 company-business,588,企業,company-business,Noun
589 奴 guy-fellow,589,奴,guy-fellow,Noun
592 例 example,592,例,example,Noun
593 絵 picture-painting,593,絵,picture-painting,Noun
596 酒 alcohol-sake-rice.wine,596,酒,alcohol-sake-rice.wine,Noun
597 原因 cause,597,原因,cause,Noun
598 お前 you.colloquial,598,お前,you.colloquial,Noun
600 小学校 elementary.school-primary.school,600,小学校,elementary.school-primary.school,Noun
603 猫 cat,603,猫,cat,Noun
604 向こう other.side-over.there,604,向こう,other.side-over.there,Noun
605 同時 simultaneous-at.the.same.time,605,同時,simultaneous-at.the.same.time,Noun
608 六 six,608,六,six,Noun
615 場 field-place-occasion,615,場,field-place-occasion,Noun
617 ホテル hotel,617,ホテル,hotel,Noun
618 対象 object-target-subject,618,対象,object-target-subject,Noun
620 以前 before-formerly,620,以前,before-formerly,Noun
621 夫 husband,621,夫,husband,Noun
622 確認 confirmation,622,確認,confirmation,Noun
623 数 number,623,数,number,Noun
624 意見 opinion-idea,624,意見,opinion-idea,Noun
629 可能性 possibility,629,可能性,possibility,Noun
633 三人 three.people,633,三人,three.people,Noun
634 料理 cooking-dish,634,料理,cooking-dish,Noun
635 一部 part,635,一部,part,Noun
640 幾つ how.many-how.old,640,幾つ,how.many-how.old,Noun
643 新聞 newspaper,643,新聞,newspaper,Noun
645 歌 song,645,歌,song,Noun
647 互い each.other,647,互い,each.other,Noun
649 違い difference,649,違い,difference,Noun
652 記憶 memory,652,記憶,memory,Noun
653 思い出 memory-reminiscence,653,思い出,memory-reminiscence,Noun
656 四月 April,656,四月,April,Noun
657 君 you,657,君,you,Noun
660 魚 fish,660,魚,fish,Noun
661 旅行 journey-travel,661,旅行,journey-travel,Noun
662 父親 father,662,父親,father,Noun
667 健康 health,667,健康,health,Noun
668 味 flavor-taste,668,味,flavor-taste,Noun
671 自由 freedom-liberty-free,671,自由,freedom-liberty-free,Noun
673 戦争 war,673,戦争,war,Noun
675 男性 male-man,675,男性,male-man,Noun
676 電車 train,676,電車,train,Noun
682 女の子 girl,682,女の子,girl,Noun
683 パソコン personal.computer,683,パソコン,personal.computer,Noun
685 活動 activity-active,685,活動,activity-active,Noun
686 不安 anxiety-concern-uneasy-insecure,686,不安,anxiety-concern-uneasy-insecure,Noun
687 三十分 thirty.minutes,687,三十分,thirty.minutes,Noun
688 限り limit,688,限り,limit,Noun
692 際 when-in.case.of,692,際,when-in.case.of,Noun
693 途中 on.the.way-in.the.middle.of,693,途中,on.the.way-in.the.middle.of,Noun
694 研究 research-study,694,研究,research-study,Noun
695 様子 state.of.affairs-situation-appearance,695,様子,state.of.affairs-situation-appearance,Noun
700 大人 adult,700,大人,adult,Noun
701 期待 expectation,701,期待,expectation,Noun
702 事実 fact-actuality,702,事実,fact-actuality,Noun
703 せい fault-cause.for.blame-because.of,703,せい,fault-cause.for.blame-because.of,Noun
704 一年 one.year,704,一年,one.year,Noun
705 一体 how-what-why-who,705,一体,how-what-why-who,Noun
706 島 island,706,島,island,Noun
709 動物 animal,709,動物,animal,Noun
710 何度 how.many.times-how.often,710,何度,how.many.times-how.often,Noun
715 機会 opportunity,715,機会,opportunity,Noun
716 楽しみ pleasure-enjoyment,716,楽しみ,pleasure-enjoyment,Noun
717 考え idea-thought,717,考え,idea-thought,Noun
722 面 side-page-surface,722,面,side-page-surface,Noun
723 三月 March,723,三月,March,Noun
725 常 way-always-usually,725,常,way-always-usually,Noun
727 つもり intention,727,つもり,intention,Noun
728 考え方 way.of.thinking-attitude,728,考え方,way.of.thinking-attitude,Noun
729 ニュース news,729,ニュース,news,Noun
730 意識 consciousness-awareness,730,意識,consciousness-awareness,Noun
731 元 beginning-original,731,元,beginning-original,Noun
732 行動 action-act-behave,732,行動,action-act-behave,Noun
734 びっくり surprise-amazed,734,びっくり,surprise-amazed,Noun
735 作り方 how.to.make,735,作り方,how.to.make,Noun
736 元気 health-vigor-lively-well,736,元気,health-vigor-lively-well,Noun
739 曲 piece.music-song-tune,739,曲,piece.music-song-tune,Noun
740 過去 past,740,過去,past,Noun
745 土地 land-ground,745,土地,land-ground,Noun
747 初め beginning,747,初め,beginning,Noun
748 評価 evaluation,748,評価,evaluation,Noun
749 息子 son,749,息子,son,Noun
753 雨 rain,753,雨,rain,Noun
754 自分達 themselves-ourselves,754,自分達,themselves-ourselves,Noun
756 二十一世紀 twenty.first.century,756,二十一世紀,twenty.first.century,Noun
758 昨日 yesterday,758,昨日,yesterday,Noun
760 メール e.mail,760,メール,e.mail,Noun
763 便利 convenience-useful,763,便利,convenience-useful,Noun
765 耳 ear,765,耳,ear,Noun
766 表現 expression,766,表現,expression,Noun
767 動き movement-action-motion,767,動き,movement-action-motion,Noun
768 注意 attention-notice,768,注意,attention-notice,Noun
771 雰囲気 atmosphere-ambience,771,雰囲気,atmosphere-ambience,Noun
772 立場 position-standpoint,772,立場,position-standpoint,Noun
774 間 time-interval-space,774,間,time-interval-space,Noun
777 お父さん father,777,お父さん,father,Noun
778 辺り area.around,778,辺り,area.around,Noun
780 将来 future,780,将来,future,Noun
782 自転車 bicycle,782,自転車,bicycle,Noun
784 川 river-stream,784,川,river-stream,Noun
786 隣り next.door-next,786,隣り,next.door-next,Noun
787 普段 usually-ordinarily,787,普段,usually-ordinarily,Noun
788 法律 law,788,法律,law,Noun
789 妻 wife,789,妻,wife,Noun
790 冬 winter,790,冬,winter,Noun
792 もと under,792,もと,under,Noun
793 発生 occurrence-incidence-outbreak,793,発生,occurrence-incidence-outbreak,Noun
796 七 seven,796,七,seven,Noun
797 手紙 letter,797,手紙,letter,Noun
799 努力 effort-endeavour,799,努力,effort-endeavour,Noun
800 増加 increase-gain-grow,800,増加,increase-gain-grow,Noun
801 判断 judgment-decision,801,判断,judgment-decision,Noun
802 両親 both.parents,802,両親,both.parents,Noun
805 家庭 home-household-family,805,家庭,home-household-family,Noun
809 船 ship-boat,809,船,ship-boat,Noun
810 九月 September,810,九月,September,Noun
811 きっかけ opportunity-motive-chance,811,きっかけ,opportunity-motive-chance,Noun
812 授業 class-lesson.at.school,812,授業,class-lesson.at.school,Noun
815 不思議 wonder-wonderful-strange-mysterious,815,不思議,wonder-wonderful-strange-mysterious,Noun
816 茶 tea,816,茶,tea,Noun
817 直接 direct-immediate-personal-firsthand,817,直接,direct-immediate-personal-firsthand,Noun
818 バス bus,818,バス,bus,Noun
819 効果 effectiveness-effect,819,効果,effectiveness-effect,Noun
121 風 style-type-way-like,121,風,style-type-way-like,Na-Adj.
129 非常 very.extremely,129,非常,very.extremely,Na-Adj.
139 みたい like,139,みたい,like,Na-Adj.
143 いろいろ various,143,いろいろ,various,Na-Adj.
145 そう be.about.to,145,そう,be.about.to,Na-Adj.
151 必要 necessary-necessity,151,必要,necessary-necessity,Na-Adj.
166 結構 quite-good,166,結構,quite-good,Na-Adj.
196 好き favorite-like-love,196,好き,favorite-like-love,Na-Adj.
238 大変 serious-terrible-hard-difficult,238,大変,serious-terrible-hard-difficult,Na-Adj.
280 普通 normal-regular-ordinary-common,280,普通,normal-regular-ordinary-common,Na-Adj.
333 別 separate-different,333,別,separate-different,Na-Adj.
341 きれい beautiful-pretty-clean,341,きれい,beautiful-pretty-clean,Na-Adj.
366 確か sure-certain-reliable,366,確か,sure-certain-reliable,Na-Adj.
393 大事 important-serious,393,大事,important-serious,Na-Adj.
400 簡単 easy,400,簡単,easy,Na-Adj.
412 自然 nature-natural-naturally,412,自然,nature-natural-naturally,Na-Adj.
426 大切 important,426,大切,important,Na-Adj.
447 逆 contrary-opposite,447,逆,contrary-opposite,Na-Adj.
453 有名 famous-well.known,453,有名,famous-well.known,Na-Adj.
476 だめ useless-hopeless,476,だめ,useless-hopeless,Na-Adj.
480 十分 enough-sufficient,480,十分,enough-sufficient,Na-Adj.
485 重要 important,485,重要,important,Na-Adj.
47 無い no-un-not,47,無い,no-un-not,I-Adj.
70 良い good,70,良い,good,I-Adj.
101 すごい fantastic-wonderful-terrible,101,すごい,fantastic-wonderful-terrible,I-Adj.
124 多い many-much-a.lot.of,124,多い,many-much-a.lot.of,I-Adj.
220 大きい big-large-great,220,大きい,big-large-great,I-Adj.
228 高い high-tall-expensive,228,高い,high-tall-expensive,I-Adj.
230 悪い bad,230,悪い,bad,I-Adj.
277 楽しい pleasant-happy-enjoyable,277,楽しい,pleasant-happy-enjoyable,I-Adj.
288 強い strong-powerful,288,強い,strong-powerful,I-Adj.
308 新しい new-fresh,308,新しい,new-fresh,I-Adj.
310 早い early-soon,310,早い,early-soon,I-Adj.
314 小さい small-little-tiny,314,小さい,small-little-tiny,I-Adj.
325 長い long,325,長い,long,I-Adj.
345 おいしい delicious-tasty,345,おいしい,delicious-tasty,I-Adj.
355 少ない a.little-a.few,355,少ない,a.little-a.few,I-Adj.
357 うまい delicious-tasty-good.at,357,うまい,delicious-tasty-good.at,I-Adj.
383 面白い interesting-fun-funny,383,面白い,interesting-fun-funny,I-Adj.
394 嬉しい glad-happy,394,嬉しい,glad-happy,I-Adj.
397 若い young,397,若い,young,I-Adj.
457 難しい difficult-hard,457,難しい,difficult-hard,I-Adj.
488 近い near-close,488,近い,near-close,I-Adj.
520 安い low-cheap,520,安い,low-cheap,I-Adj.
522 つらい hard-difficult-painful,522,つらい,hard-difficult-painful,I-Adj.
591 怖い frightening-scary-terrified,591,怖い,frightening-scary-terrified,I-Adj.
602 広い wide-broad-large,602,広い,wide-broad-large,I-Adj.
642 ほしい want-desire,642,ほしい,want-desire,I-Adj.
669 深い deep,669,深い,deep,I-Adj.
681 厳しい strict-hard,681,厳しい,strict-hard,I-Adj.
691 可愛い cute-nice-lovely,691,可愛い,cute-nice-lovely,I-Adj.
696 ものすごい terrible-terribly,696,ものすごい,terrible-terribly,I-Adj.
712 素晴らしい wonderful-marvellous,712,素晴らしい,wonderful-marvellous,I-Adj.
19 言う say-speak-talk,19,言う,say-speak-talk,Verb
22 する do-make,22,する,do-make,Verb
25 ある be-exist-have,25,ある,be-exist-have,Verb
28 なる become-get,28,なる,become-get,Verb
34 思う think-believe-feel-expect,34,思う,think-believe-feel-expect,Verb
48 行く go-come,48,行く,go-come,Verb
64 来る come,64,来る,come,Verb
67 見る see-look.at.watch-check,67,見る,see-look.at.watch-check,Verb
77 やる do-make-give,77,やる,do-make-give,Verb
79 いる be-exist-stay,79,いる,be-exist-stay,Verb
80 できる be.ready,80,できる,be.ready,Verb
98 持つ have-take-hold,98,持つ,have-take-hold,Verb
99 出る go.out-come.out-attend,99,出る,go.out-come.out-attend,Verb
102 考える think,102,考える,think,Verb
105 分かる understand-see,105,分かる,understand-see,Verb
109 入る enter-come.in-go.in,109,入る,enter-come.in-go.in,Verb
110 作る make-create-cook,110,作る,make-create-cook,Verb
112 聞く hear-listen-ask,112,聞く,hear-listen-ask,Verb
119 使う use-handle,119,使う,use-handle,Verb
132 取る take-get-have-pass,132,取る,take-get-have-pass,Verb
134 知る know,134,知る,know,Verb
146 行なう do-carry.out-hold,146,行なう,do-carry.out-hold,Verb
152 仕事 work-job,152,仕事,work-job,Verb
160 食べる eat,160,食べる,eat,Verb
163 書く write,163,書く,write,Verb
164 入れる put.in-include,164,入れる,put.in-include,Verb
176 付く stick-be.stained.with,176,付く,stick-be.stained.with,Verb
178 出す take.out-pay.send,178,出す,take.out-pay.send,Verb
182 ございます be-exist,182,ございます,be-exist,Verb
186 違う different-wrong,186,違う,different-wrong,Verb
187 受ける get-receive-take,187,受ける,get-receive-take,Verb
195 話す talk-tell-speak,195,話す,talk-tell-speak,Verb
 197 返る return,197,返る,return,Verb
199 掛ける hang-take-cost,199,掛ける,hang-take-cost,Verb
200 終わる end-finish,200,終わる,end-finish,Verb
201 意味する mean-sense,201,意味する,mean-sense,Verb
204 付ける put-attach-apply,204,付ける,put-attach-apply,Verb
210 感じる feel,210,感じる,feel,Verb
212 かかる hang-take-cost,212,かかる,hang-take-cost,Verb
214 住む live,214,住む,live,Verb
223 生活する live,223,生活する,live,Verb
225 あげる raise-lift,225,あげる,raise-lift,Verb
232 乗る ride-get.on-take,232,乗る,ride-get.on-take,Verb
234 見える see-seen,234,見える,see-seen,Verb
235 変わる change,235,変わる,change,Verb
261 読む read,261,読む,read,Verb
267 教える teach-tell,267,教える,teach-tell,Verb
276 置く put-place-leave,276,置く,put-place-leave,Verb
281 残る remain-left,281,残る,remain-left,Verb
290 呼ぶ call,290,呼ぶ,call,Verb
292 歩く walk,292,歩く,walk,Verb
296 生きる live,296,生きる,live,Verb
307 飲む drink,307,飲む,drink,Verb
311 会う meet-see,311,会う,meet-see,Verb
"324 電話する telephone.call-phone,call",324,電話する,"telephone.call-phone,call",Verb
342 立つ stand,342,立つ,stand,Verb
358 覚える learn-remember-memorize,358,覚える,learn-remember-memorize,Verb
361 続く continue-go.on-last,361,続く,continue-go.on-last,Verb
364 生まれる be.born,364,生まれる,be.born,Verb
370 説明する explain,370,説明する,explain,Verb
380 得る get-obtain,380,得る,get-obtain,Verb
382 選ぶ choose-select,382,選ぶ,choose-select,Verb
384 戻る return-go.back,384,戻る,return-go.back,Verb
385 勉強する study-learn,385,勉強する,study-learn,Verb
386 やめる stop-give.up,386,やめる,stop-give.up,Verb
388 始める start-begin,388,始める,start-begin,Verb
392 残す leave,392,残す,leave,Verb
396 遊ぶ play,396,遊ぶ,play,Verb
401 始まる start-begin,401,始まる,start-begin,Verb
402 死ぬ die,402,死ぬ,die,Verb
409 経験する experience,409,経験する,experience,Verb
416 与える give-present,416,与える,give-present,Verb
417 利用する use-utilize,417,利用する,use-utilize,Verb
418 働く work,418,働く,work,Verb
428 切る cut,428,切る,cut,Verb
429 走る run,429,走る,run,Verb
430 待つ wait,430,待つ,wait,Verb
435 楽しむ enjoy-have.a.good.time,435,楽しむ,enjoy-have.a.good.time,Verb
438 寝る sleep-lie.down-go.to.bed,438,寝る,sleep-lie.down-go.to.bed,Verb
440 決める decide-fix,440,決める,decide-fix,Verb
441 忘れる forget,441,忘れる,forget,Verb
443 送る send-spend.time,443,送る,send-spend.time,Verb
445 なくなる disappear-be.gone,445,なくなる,disappear-be.gone,Verb
448 頑張る do.one’s.best,448,頑張る,do.one’s.best,Verb
449 示す show,449,示す,show,Verb
462 願う wish.ask.pray,462,願う,wish.ask.pray,Verb
465 向かう face-go.towards,465,向かう,face-go.towards,Verb
466 連れる take.somebody-accompany,466,連れる,take.somebody-accompany,Verb
467 変える change,467,変える,change,Verb
468 影響する influence-affect,468,影響する,influence-affect,Verb
472 求める ask.for-request-demand,472,求める,ask.for-request-demand,Verb
474 もらう get-have-receive,474,もらう,get-have-receive,Verb
477 経つ pass-go.by,477,経つ,pass-go.by,Verb
482 開く open-bloom-hold,482,開く,open-bloom-hold,Verb
484 続ける continue-keep.up-go.on,484,続ける,continue-keep.up-go.on,Verb
487 当たる hit-bump-touch-guess-win,487,当たる,hit-bump-touch-guess-win,Verb
489 結婚する marry,489,結婚する,marry,Verb
490 認める recognize-acknowledge-admit,490,認める,recognize-acknowledge-admit,Verb
493 増える increase-gain,493,増える,increase-gain,Verb
497 進む go.forward-make.progress,497,進む,go.forward-make.progress,Verb
498 起きる get.up-wake-happen,498,起きる,get.up-wake-happen,Verb
506 質問する question,506,質問する,question,Verb
507 含む contain-include,507,含む,contain-include,Verb
513 見せる show,513,見せる,show,Verb
518 紹介する introduce,518,紹介する,introduce,Verb
519 合わせる join-add.up-adjust,519,合わせる,join-add.up-adjust,Verb
523 規定する regulate-stipulate-prescribe ,523,規定する,regulate-stipulate-prescribe,Verb
526 起こる happen-occur-take.place,526,起こる,happen-occur-take.place,Verb
529 立てる stand-set.up-put.up ,529,立てる,stand-set.up-put.up,Verb
532 探す look.for-search.for-seek,532,探す,look.for-search.for-seek,Verb
537 いただく get-receive.humble,537,いただく,get-receive.humble,Verb
538 売る sell,538,売る,sell,Verb
539 変化する change-change-vary,539,変化する,change-change-vary,Verb
543 参加する participate-take.part.in,543,参加する,participate-take.part.in,Verb
545 よる due.to-caused.by-depend.on,545,よる,due.to-caused.by-depend.on,Verb
546 理解する understand,546,理解する,understand,Verb
555 答える answer-respond,555,答える,answer-respond,Verb
556 過ごす spend-live,556,過ごす,spend-live,Verb
557 上がる go.up-rise-end-get.nervous,557,上がる,go.up-rise-end-get.nervous,Verb
560 心配する anxious-worried-care,560,心配する,anxious-worried-care,Verb
562 イメージする image-imagine-have.an.impression,562,イメージする,image-imagine-have.an.impression,Verb
566 動く move-work-operate,566,動く,move-work-operate,Verb
568 加える add-include,568,加える,add-include,Verb
569 困る have.difficulty-in.trouble,569,困る,have.difficulty-in.trouble,Verb
570 取れる come.off-removed,570,取れる,come.off-removed,Verb
572 対応する correspond-respond,572,対応する,correspond-respond,Verb
573 比べる compare-contrast,573,比べる,compare-contrast,Verb
575 食事する have.a.meal,575,食事する,have.a.meal,Verb
576 引く pull-draw-lead-subtract,576,引く,pull-draw-lead-subtract,Verb
579 離れる separate-leave-away.from,579,離れる,separate-leave-away.from,Verb
581 実施する operate-enforce-conduct,581,実施する,operate-enforce-conduct,Verb
584 練習する practice-train,584,練習する,practice-train,Verb
585 使用する use,585,使用する,use,Verb
