Category,Function,S1,S2,S3,S4,S5,S6,T1,T2,T3,T4,T5,T6
Needs,Asking people about their needs,何が必要ですか。,何か必要なものがありますか。,何がいりますか。,購入には何がいりますか。,もっと予算が必要ですか。,予約にパスポートは必要ですか。,What do you need?,Is there anything you need?,What do you need?,What do I need to purchase?,Do you need more budget?,Do I need a passport to make a reservation?
Weather,Describing the weather 1,東京は今雨が降っています。,北海道は雪が降っています。,今ちょっと曇っています。,ニューヨークは今晴れています。,今風が吹いています。,,It is now raining in Tokyo.,It is snowing in Hokkaido.,It's a bit cloudy now.,New York is now sunny.,It is windy now.,
Weather,Describing the weather 2,今日はちょっと寒いです。,今日は春らしく、暖かいですね。,今日は随分暑いですね。,八月にしては涼しいですね。,,,It's a bit cold today.,It is warm and spring-like today.,It is very hot today.,It is cool for August.,,
Describing,"Describing color, size, weight, condition of things",私の家はあの白いのです。,これ、小さくてかわいい鞄ですね。,私のラップトップは軽くて便利です。,私のラップトップは重くて不便です。,浅いと明確、高速で流れる。,かなり広い安全な場所です。,My house is that white one.,"This is a small, cute bag.",My laptop is light and convenient.,My laptop is heavy and inconvenient.,"Shallow and clear, flows at high speed.",It is a fairly large safe area.
Describing,Describing action and events in progress,彼女は今勉強しています。,留学生の数が増えています。,母は今夕ご飯を食べています。,まだセールが続いています。,彼らに向かって歩いています。,今書いている最中です。,She is studying now.,The number of international students is increasing.,My mother is having dinner now.,The sale is still on.,Walking towards them.,I am in the process of writing it.
Describing,Describing state or condition,この花、枯れていますよ。,水がここぼれていますよ。,そのいす、壊れているから気をつけて。,この机、ちょっと曲がっているね。,そのシャツ、汚れているから洗ってくれない?,この茶碗、欠けているよ。,This flower is withered.,There's water spilling all over the place.,"That chair is broken, so be careful.","This desk is a bit crooked, isn't it?","That shirt is dirty, can you wash it for me?","This teacup, it's chipped."
Describing,Describing habitual event,私は毎日自転車で学校に通っています。,私は健康のために毎朝ビタミンを飲んでいます。,私は英語の勉強のために毎朝英語の新聞を読みます。,毎日朝9時半から開店しています。,,,I go to school every day by bicycle.,I take a vitamin every morning for my health.,I read an English newspaper every morning to study English.,The store opens at 9:30 a.m. daily.,,
Command,Ordering or requesting something to and or giving instruction 1,沿道休憩所に座って。,協調して動くプログラムを書け。,通りの向こうを見ろ。,詳しくは使用法を見よ。,見つけるまで探し続けなさい。,選択してください。,Sit at a roadside rest area.,Write programs that work together.,Look across the street.,See usage for details.,Keep looking until you find it.,Please make a selection.
Command,Ordering or requesting something to and or giving instruction 2,食事療法にきちんと従うように。,もう少しお待ちください。,ホテルの予約をお願いします。,画像フォーマットははじめにを参照のこと。,そのボタンをまず準備します。,お前はみんなと行きな。,Be sure to follow the diet properly.,Please wait a little longer.,Please make hotel reservations.,See Introduction for image formats.,Prepare that button first.,You go with the others.
Command,Ordering or requesting something to and or giving instruction 3,食事はいく途中で食べよう。,明後日ティーパーティーを開きましょう。,アクセスコードを探してちょうだい。,,,,Let's eat on the way.,Let's have a tea party the day after tomorrow.,Look for the access code.,,,
Prohibition,Forbidding someone to do something,何も言わないで休んではいけません。,寝坊しては困ります。,予習しないで授業に来てはだめです。, 何も言わないで休んじゃいけない。,寝坊しちゃ困る。,予習しないで授業に来ちゃだめ。,You must not be absent without saying anything.,You should not oversleep.,You should not come to class without having prepared for the class.,You should not be absent without saying anything.,Don't oversleep.,Don't come to class without doing the prep work.
Prohibition,Prohibited by a rule,建物の中ではたばこをすってはいけないことになっています。,雑誌は貸出できないことになっています。,ここでは喫煙してはいけないことになっています。,収益目的の活動を行ってはならないことになっています。,,,Smoking cigarettes is not allowed in the building.,Magazines are not allowed to be checked out.,Smoking is not allowed here.,Activities for profit-making purposes are prohibited.,,
Prohibition,Prohibited by law or regulation,釣りは禁止されています。,ホテルの喫煙は禁止されています。,賭博行為は法律で禁止されています。,セキュリティ上の理由により許されていない。,ここでは撮影は許されていない。,あのアパートではペットの飼育が許されていない。,Fishing is prohibited.,Smoking is prohibited in the hotel.,Gambling activities are prohibited by law.,Not allowed for security reasons.,Photography is not allowed here.,Pets are not allowed in that apartment.
