Kanji,Meaning,S1,S2,S3,S4,S5,S6,S7,S8
耐,endure,耐える,忍耐,耐久性,忍耐力,耐性,耐久,耐火,耐水
堪,"endure, withstand",堪らない,堪る,堪能,堪え兼ねる,,,,
件,"affair, case",条件,事件,用件,件数,案件,本件,一件,利用条件
制,"system, law, rule",制服,制度,規制,統制,強制,体制,制限,制裁
製,made in,製品,製造,製作,製鉄,製法,乳製品,精製,手製
休,rest,,,,,,,,
本,"book, present, main",,,,,,,,
体,"body, substance",,,,,,,,
憩,"relax, rest",休憩,休憩時間,休憩所,憩い,憩う,休憩室,小休憩,一服休憩
息,breath,息子,窒息,休息,ため息,利息,利息,意気込む,一息
養,"foster, nurture",栄養,療養,休養,扶養,養成,養う,培養,養育
命,"life, fate, destiny",生命,命令,一生懸命,運命,革命,命じる,寿命,任命
技,"skill, art, technique",競技,技術,技師,演技,技能,球技,技巧,技量
攻,"aggression, attack",攻撃,専攻,攻める,攻勢,攻略,侵攻,速攻,進攻
象,elephant,,,,,,,,
像,"image, picture",,,,,,,,
蔵,"store, hide",,,,,,,,
臓,internal organs,心臓,内臓,肝臓,腎臓,臓器,心臓病,心臓移植,臓器提供
約,promise,契約,節約,婚約,約束,予約,条約,制約,規約
的,"mark, target",目的,積極的,消極的,的確,先天的,一般的,個人的,基本的
釣,fishing,釣り,釣る,釣り合う,釣り糸,釣り針,釣り針,釣具,釣り場
酌,serving,斟酌,酌量,酌む,媒酌,晩酌,参酌,,
軟,"soft, tender",軟骨,軟派,軟禁,軟化,軟式,軟調,軟着陸,軟弱
柔,"soft, tender",柔道,柔らかい,柔軟,柔和,優柔不断,柔軟性,外柔内剛,柔軟剤
等,"equal, quality, etc.",平等,等しい,上等,高等,等分,対等,劣等感,一等
情,"feelings, emotion",情報,感情,友情,表情,同情,愛情,苦情,純情
清,pure,清算,清潔,清掃,清書,清い,清々しい,清新,清浄
素,"naked, elementary",酸素,水素,炭素,元素,要素,素直,素質,素人
憎,"hate, detest",憎む,生憎,憎しみ,憎らしい,憎い,憎悪,愛憎,憎からず
増,"increase, add",増える,増加,増す,増大,増やす,増進,増強,増税
勇,courage,勇気,勇ましい,勇敢,勇者,義勇,勇退,勇断,勇む
禁,prohibit,禁煙,禁止,禁じる,禁物,監禁,解禁,禁酒,厳禁
枚,,,,,,,,,
乳,,,,,,,,,
荒,,,,,,,,,
床,,,,,,,,,
詰,,,,,,,,,
厚,,,,,,,,,
栄,,,,,,,,,
順,,,,,,,,,
則,,,,,,,,,
皮,,,,,,,,,
輸,,,,,,,,,
濃,,,,,,,,,
孫,,,,,,,,,
黄,,,,,,,,,
丈,,,,,,,,,
採,,,,,,,,,
届,,,,,,,,,
簡,,,,,,,,,
絡,,,,,,,,,
傾,,,,,,,,,
鼻,,,,,,,,,
宝,,,,,,,,,
患,,,,,,,,,
延,,,,,,,,,
律,,,,,,,,,
希,,,,,,,,,
甘,,,,,,,,,
湾,,,,,,,,,
沈,,,,,,,,,
販,,,,,,,,,
欧,,,,,,,,,
砂,,,,,,,,,
尊,,,,,,,,,
紅,,,,,,,,,
複,,,,,,,,,
泊,,,,,,,,,
荷,,,,,,,,,
枝,,,,,,,,,
依,,,,,,,,,
幼,,,,,,,,,
斬,,,,,,,,,
昇,,,,,,,,,
寿,,,,,,,,,
菜,,,,,,,,,
季,,,,,,,,,
液,,,,,,,,,
券,,,,,,,,,
祭,,,,,,,,,
儚,,,,,,,,,
単,,,,,,,,,
調,,,,,,,,,
印,,,,,,,,,
然,,,,,,,,,
覚,,,,,,,,,
挫,,,,,,,,,
喧,,,,,,,,,
著,,,,,,,,,
編,,,,,,,,,
救,,,,,,,,,
謝,,,,,,,,,
射,,,,,,,,,
娘,,,,,,,,,
浪,,,,,,,,,
恨,,,,,,,,,
根,,,,,,,,,
限,,,,,,,,,
退,,,,,,,,,
率,,,,,,,,,
直,,,,,,,,,
庁,,,,,,,,,
舎,,,,,,,,,
修,,,,,,,,,
補,,,,,,,,,
従,,,,,,,,,
規,,,,,,,,,
範,,,,,,,,,
義,,,,,,,,,
儀,,,,,,,,,
熟,,,,,,,,,
染,,,,,,,,,
移,,,,,,,,,
籍,,,,,,,,,
判,,,,,,,,,
伴,,,,,,,,,
評,,,,,,,,,
批,,,,,,,,,
