Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4,W5,R5,M5
捕,HO,"to, tsuka","catch, capture",捕まえる,つかまえる,"to catch, capture, grab",捕まる,つかまる,"to be caught, grasp",捕る,とる,"to catch, capture",逮捕,たいほ,"arrest, capture",捕獲,ほかく,"capture, seizure"
掴,KAKU,tsuka,"catch, seize, grasp, hold",掴む,つかむ,"to seize, catch, obtain",掴み,つかみ,grip,掴まる,つかまる,"to be caught, grasp",掴み取り,つかみどり,grabbing,掴み金,つかみがね,handful of cash
筋,KIN,suji,"muscle, sinew, tendon, fiber",筋肉,きんにく,muscle,筋,すじ,"muscle, tendon",大筋,おおすじ,"outline, summary, gist",背筋,せすじ,spine,道筋,みちすじ,"path, route, itinerary"
箱,.,hako,"box, chest, case, bin",箱,はこ,"box, case, chest",本箱,ほんばこ,bookcase,箱詰め,はこづめ,boxing,弁当箱,べんとうばこ,lunch box,貯金箱,ちょきんばこ,savings box
範,HAN,.,"pattern, example, model",規範,きはん,"model, standard, pattern",範囲,はんい,"extent, scope, range",模範,もはん,"model, example",広範囲,こうはんい,"extensive, vast range",師範,しはん,instructor
俗,ZOKU,.,"vulgar, customs, manners",風俗,ふうぞく,"manners, customs",俗語,ぞくご,colloquialism,民俗,みんぞく,ethnic customs,俗事,ぞくじ,worldly affairs,公序良俗,こうじょりょうぞく,social standards
欲,YOKU,ho,"longing, passion, desire",食欲,しょくよく,appetite,欲しい,ほしい,"want, desire",欲張り,よくばり,greed,欲望,よくぼう,"desire, appetite, lust",意欲,いよく,"will, desire, eagerness"
浴,YOKU,a,"bathe, bask in, favored",浴びる,あびる,"shower, bathe",浴衣,ゆかた,yukata,海水浴,かいすいよく,sea bathing,入浴,にゅうよく,bathing,浴室,よくしつ,bathroom
処,SHO,.,"dispose, manage, deal with",処理,しょり,"processing, dealing",対処,たいしょ,dealing with,処分,しょぶん,"disposal, selling off",処置,しょち,"measure, step, deal",処方箋,しょほうせん,prescription
拠,"KYO, KO",.,"foothold, based on, follow",証拠,しょうこ,"evidence, proof",根拠,こんきょ,"basis, grounds",拠点,きょてん,"position, location",本拠,ほんきょ,"stronghold, base",拠出,きょしゅつ,"donation, contribution"
砂,"SA, SHA",suna,sand,砂,すな,"sand, grit",砂糖,さとう,sugar,砂漠,さばく,desert,砂利,じゃり,"gravel, pebbles",砂浜,すなはま,sandy beach
秒,BYOU,.,second,秒,びょう,second,秒速,びょうそく,speed per second,秒読み,びょうよみ,countdown,秒針,びょうしん,second hand ,秒時計,びょうどけい,stop watch
抄,SHOU,.,"extract, selection, summary",抄録,しょうろく,"quotation, abstract",抄本,しょうほん,excerpt,抄訳,しょうやく,abridged translation,抄造,しょうぞう,papermaking,抄出,しょうしゅつ,taking excerpts
妙,MYOU,.,"exquisite, strange",奇妙,きみょう,"strange, odd, peculiar",妙,みょう,"strange, odd, curious",微妙,びみょう,"subtle, delicate, fine",巧妙,こうみょう,"ingenious, skillful",絶妙,ぜつみょう,"exquisite, superb"
少,SHOU,"suku, suko","few, little",少し,すこし,"a little, a bit",少ない,すくない,"few, a little",少年,しょうねん,young boy,多少,たしょう,"a little, some",減少,げんしょう,"decrease, reduction"
輸,YU,.,"transport, send",輸入,ゆにゅう,import,輸出,ゆしゅつ,export,輸血,ゆけつ,blood transfusion,輸送,ゆそう,transport,密輸,みつゆ,smuggling
軽,KEI,"karu, karo","light, trifling, unimportant",軽い,かるい,"light, trivial",軽率,けいそつ,"rash, thoughtless",気軽,きがる,"lighthearted, carefree",手軽,てがる,"easy, simple, informal",軽快,けいかい,"light, nimble, casual"
経,"KEI, KYOU","he, ta","longitude, pass, expire",経済,けいざい,economy,経験,けいけん,experience,神経,しんけい,nerve,経る,へる,"to pass, elapse",経営,けいえい,management
済,SAI,su,"settle, finish",救済,きゅうさい,"relief, aid, help",済む,すむ,"to finish, end, complete",返済,へんさい,repayment,経済的,けいざいてき,economic,共済,きょうさい,mutual aid
剤,ZAI,.,"dose, medicine, drug",洗剤,せんざい,detergent,薬剤師,やくざいし,pharmacist,殺虫剤,さっちゅうざい,insecticide,鎮痛剤,ちんつうざい,analgesic,錠剤,じょうざい,"pill, lozenge, tablet"
才,SAI,.,"genius, talent, years old",天才,てんさい,"genius, prodigy",才能,さいのう,"talent, ability",秀才,しゅうさい,bright person,多才,たさい,talented,商才,しょうさい,business acumen
材,ZAI,.,"materials, ingredients, wood",木材,もくざい,"lumber, timber",材料,ざいりょう,"materials, ingredients",素材,そざい,"ingredient, resource",人材,じんざい,capable person,取材,しゅざい,gathering material
財,"ZAI, SAI",.,"property, money, wealth",財布,さいふ,"purse, handbag",財産,ざいさん,"property, assets",財政,ざいせい,public finance,文化財,ぶんかざい,cultural assets,財政難,ざいせいなん,financial difficulties
因,IN,yo,"cause, factor, depend on",原因,げんいん,"cause, origin, source",要因,よういん,main cause,因子,いんし,factor,起因,きいん,"caused by, arise from",因果,いんが,cause and effect
困,KON,koma,"troubled, distressed, annoyed",困る,こまる,to be troubled,貧困,ひんこん,"poverty, destitution",困難,こんなん,"difficulty, hardship",困惑,こんわく,perplexity,困窮,こんきゅう,"destitution, difficulty with"
歓,KAN,.,"delight, joy",歓迎,かんげい,"welcome, reception",歓声,かんせい,cheer,大歓迎,だいかんげい,warm welcome,歓談,かんだん,pleasant talk,歓喜,かんき,"delight, great joy"
勧,KAN,susu,"persuade, recommend, advise",勧める,すすめる,to recommend,勧誘,かんゆう,"invitation, solicitation",勧告,かんこく,"advice, counsel",勧奨,かんしょう,encouragement,避難勧告,ひなんかんこく,evacuation advisory
観,KAN,.,"outlook, view, appearance",観客,かんきゃく,spectator,観光,かんこう,sightseeing,観念,かんねん,"idea, notion, sense",観測,かんそく,"observation, survey",観察,かんさつ,"observation, watching"
視,SHI,.,"inspection, regard as, see",視野,しや,"field of vision, view",視覚,しかく,"sense of sight, vision",近視,きんし,nearsightedness,無視,むし,disregarding,監視,かんし,monitoring
規,KI,.,"standard, measure",規則,きそく,"rule, regulation",規制,きせい,"regulation, restriction",規範,きはん,"model, standard",規律,きりつ,"order, rules. law",規約,きやく,"agreement, rules, code"
則,SOKU,.,"rule, law, follow",法則,ほうそく,"law, rule",規則,きそく,"rule, regulation",原則,げんそく,principle,校則,こうそく,school regulations,規則的,きそくてき,"systematic, routine"
側,SOKU,"gawa, kawa","side, lean, oppose",両側,りょうがわ,both sides,側面,そくめん,"side, flank, profile",外側,そとがわ,"exterior, outside",裏側,うらがわ,other side,側近,そっきん,close associate
測,SOKU,haka,"fathom, plan, measure",測定,そくてい,measurement,観測,かんそく,"observation, measurement",測量,そくりょう,"measurement, surveying",推測,すいそく,"guess, conjecture",予測,よそく,"prediction, estimation"
列,RETSU,.,"file, row, rank",列車,れっしゃ,train,行列,ぎょうれつ,"line, queue",陳列,ちんれつ,"exhibition, display",整列,せいれつ,alignment,最前列,さいぜんれつ,front row
例,REI,tato,"example, custom, usage",例えば,たとえば,for example,比例,ひれい,proportion,例外,れいがい,exception,実例,じつれい,"example, illustration",例える,たとえる,"to compare, liken"
門,MON,kado,gate,入門,にゅうもん,becoming a pupil,学問,がくもん,"study, scholarship",専門家,せんもんか,specialist,入門,にゅうもん,"becoming a pupil, primer",部門,ぶもん,"division, branch"
問,MON,to,"question, ask, problem",問題,もんだい,"problem, question",質問,しつもん,"question, inquiry",訪問,ほうもん,call. visit,疑問,ぎもん,"doubt, question",問う,とう,"to ask, inquire"
間,"KAN, KEN","aida, ma","interval, space",時間,じかん,time,人間,にんげん,human being,居間,いま,living room,間柄,あいだがら,"relation, terms",間に合う,まにあう,to be in time for
聞,"BUM, MON",ki,"hear, ask, listen",新聞,しんぶん,newspaper,聞く,きく,"to hear, listen, ask",聴聞,ちょうもん,listening,見聞,けんぶん,"information, experience",聞き取る,ききとる,"catch the words, hear"
関,KAN,"seki, kaka","connection, barrier, gateway",玄関,げんかん,entrance,関係,かんけい,"relation, connection",関わる,かかわる,to be concerned with,交通機関,こうつうきかん,transport system,関与,かんよ,participation
開,KAI,"a, hira","open, unfold, unseal",開ける,あける,to open,開く,ひらく,to open,展開,てんかい,development,開始,かいし,"start, commence",開拓,かいたく,reclamation
閉,HEI,"shi, to","closed, shut",閉める,しめる,to close,閉じる,とじる,to close,閉会,へいかい,closure of an event,閉鎖,へいさ,"closure, shutdown",閉店,へいてん,closing up shop
閲,ETSU,.,"review, inspection, revision",検閲,けんえつ,censorship,校閲,こうえつ,"revision, proofreading",閲覧,えつらん,"inspection, browsing",閲覧室,えつらんしつ,reading room,観閲,かんえつ,"inspection, review"
閣,KAKU,.,"tower, tall building",内閣,ないかく,"cabinet, ministry",閣僚,かくりょう,cabinet ministers,楼閣,ろうかく,multistoried building,閣議,かくぎ,cabinet meeting,入閣,にゅうかく,joining the cabinet
闇,.,yami,"get dark, gloom, disorder",闇,やみ,darkness,無闇に,むやみに,thoughtlessly,暗闇,くらやみ,darkness,闇市,やみいち,black market,闇夜,やみよ,dark night
兆,CHOU,kiza,"sign, omen, symptoms",兆す,きざす,show signs of,兆し,きざし,"symptom, sign",前兆,ぜんちょう,"omen, sign",兆候,ちょうこう,"indication, sign",吉兆,きっちょう,good omen
挑,CHOU,ido,"challenge, contend for",挑戦,ちょうせん,challenge,挑む,いどむ,challenge to,挑発,ちょうはつ,provocation,挑戦者,ちょうせんしゃ,challenger,挑発的,ちょうはつてき,provocative
跳,CHOU,"to, ha","hop, leap up, spring",跳ねる,はねる,"jump, leap",跳躍,ちょうやく,"jump, leap",縄跳び,なわとび,skipping rope,幅跳び,はばとび,long jump,跳ね返る,はねかえる,rebound
眺,CHOU,naga,"stare, watch, look at, see",眺める,ながめる,"look, view, gaze",眺め,ながめ,"scene, view",眺望,ちょうぼう,"prospect, view",眺めやる,ながめやる,gaze out,眺め渡す,ながめわたす,gaze out over
逃,TOU,"ni, noga","escape, flee, set free",逃げる,にげる,run away,逃がす,にがす,set free,逃れる,のがれる,escapes,逃す,のがす,"miss, lose",逃亡,とうぼう,escape
床,SHOU,"toko, yuka","bed, floor, tatami",床,ゆか,floor,床屋,とこや,barbershop,起床,きしょう,getting up,病床,びょうしょう,sickbed,寝床,ねどこ,"bed, crib"
応,OU,kota,"reply, answer, respond",反応,はんのう,reaction,応じる,おうじる,respond,応える,こたえる,answer,応援,おうえん,assistance,応対,おうたい,dealing with
庫,KO,.,"warehouse, storehouse",冷蔵庫,れいぞうこ,refrigerator,金庫,きんこ,"safe, vault",車庫,しゃこ,garage,倉庫,そうこ,storehouse,宝庫,ほうこ,treasury
庁,CHOU,.,government office,官庁,かんちょう,government office,気象庁,きしょうちょう,meteorological agency,防衛庁,ぼうえいちょう,defense agency,県庁,けんちょう,prefectural office,特許庁,とっきょちょう,patent office
府,FU,.,"govt office, borough",政府,せいふ,government,府県,ふけん,prefectures,幕府,ばくふ,shogunate,立法府,りっぽうふ,"court, legislature",地元政府,じもとせいふ,local government
充,JUU,a,"allot, fill",充てる,あてる,"assign, set aside",拡充,かくじゅう,expansion,補充,ほじゅう,replenish,充填,じゅうてん,filling up,充実,じゅうじつ,fullness
銃,JUU,.,"gun, arms",銃声,じゅうせい,sound of a gunshot,機関銃,きかんじゅう,machine gun,拳銃,けんじゅう,pistol,銃器,じゅうき,small arms,銃弾,じゅうだん,bullet
統,TOU,su,"overall, rule, govern, control",大統領,だいとうりょう,"president, boss",統べる,すべる,"rule over, govern",伝統,でんとう,tradition,統制,とうせい,regulation,系統,けいとう,"system, lineage"
令,REI,.,"order, good, command",命令,めいれい,"order, command",指令,しれい,"orders, instructions",司令部,しれいぶ,headquarters,令状,れいじょう,written order,発令,はつれい,official announcement
冷,REI,"tsume, hi, sa","cool, cold, chill",冷たい,つめたい,"cold, chilly",冷える,ひえる,"get chilly, cold",冷やす,ひやす,"to cool, chill",冷凍,れいとう,"freeze, refrigerate",冷める,さめる,"cool down, get cold"
者,SHA,mono,"someone, person",記者,きしゃ,reporter,患者,かんじゃ,patient,医者,いしゃ,doctor,後者,こうしゃ,the latter​,前者,ぜんしゃ,the former​
著,CHO,"arawa, ichijiru","renowned, publish, remarkable",著者,ちょしゃ,author,著す,あらわす,"write, publish",著しい,いちじるしい,"striking, remarkable",著名,ちょめい,well-known,著作権,ちょさくけん,copyright
署,SHO,.,"signature, govt office",署名,しょめい,signature,消防署,しょうぼうしょ,fire station,警察署,けいさつしょ,police station,署員,しょいん,staff member,副署,ふくしょ,countersignature
諸,SHO,.,"various, many, several, together",諸君,しょくん,everyone,諸,しょ,"various, several",諸国,しょこく,various countries,諸島,しょとう,archipelago,諸悪,しょあく,various evils
緒,SHO,.,"thong, beginning, inception",一緒,いっしょ,together,情緒,じょうちょ,"emotion, feeling",内緒,ないしょ,confidentiality,端緒,たんしょ,"start, first step",由緒,ゆいしょ,"pedigree, lineage"
術,JUTSU,.,"art, technique, skill",美術館,びじゅつかん,art museum,芸術,げいじゅつ,arts,技術,ぎじゅつ,"technology, technique",戦術,せんじゅつ,tactics,手術,しゅじゅつ,surgery
街,"GAI, KAI",machi,"boulevard, street, town",街道,かいどう,highway,街角,まちかど,street corner​,市街,しがい,"urban areas, streets",商店街,しょうてんがい,shopping district;,街灯,がいとう,street light
衝,SHOU,.,"collide, highway, thrust",衝突,しょうとつ,"collision, crash",衝撃,しょうげき,"impact, shock, impulse",衝動,しょうどう,"impulse, urge",折衝,せっしょう,negotiation,要衝,ようしょう,key point
衛,EI,.,"defense, protection",衛星,えいせい,natural satellite,衛生,えいせい,"hygiene, sanitation",防衛,ぼうえい,"defense, protection",護衛,ごえい,"guard, convoy",守衛,しゅえい,security guard
衡,KOU,.,"scales, weigh, equilibrium",均衡,きんこう,"equilibrium, balance",平衡,へいこう,even scale,不均衡,ふきんこう,imbalance,化学平衡,かがくへいこう,chemical equilibrium,衡平法,こうへいほう,equity
技,GI,waza,"skill, art, craft, ability",競技,きょうぎ,"game, match, contest",技術,ぎじゅつ,"technology,  technique",演技,えんぎ,performance,技能,ぎのう,technical skill,技巧,ぎこう,"technique, finesse"
枝,SHI,eda,"branch, twig, limb",枝,えだ,"branch, limb, twig",爪楊枝,つまようじ,toothpick,枝豆,えだまめ,edamame,枝垂れる,しだれる,"hang down, weep",枝切り,えだきり,pruning
肢,SHI,.,limbs,選択肢,せんたくし,"choices, options",肢体,したい,limbs,義肢,ぎし,artificial limb,下肢,かし,lower limbs,上肢,じょうし,upper limbs
隠,IN,kaku,"conceal, hide, cover",隠す,かくす,"hide, conceal",隠れる,かくれる,hidden,隠居,いんきょ,retirement,隠者,いんじゃ,hermit,隠滅,いんめつ,"destruct, spoil"
穏,ON,oda,"calm, quiet, moderation",穏やか,おだやか,"calm, quiet",平穏,へいおん,"tranquil, calm",不穏,ふおん,turbulent,穏健,おんけん,"quiet, dependable",穏当,おんとう,"proper, reasonable"
替,TAI,ka,"replace, exchange, substitute",替わる,かわる,replace,着替え,きがえ,changing clothes,代替,だいたい,substitution,取り替える,とりかえる,"exchange, swap",両替,りょうがえ,money exchange
賛,SAN,.,"approve, agree, praise",賛成,さんせい,"approval, agreement",賛美,さんび,praise,賞賛,しょうさん,commendation,賛同,さんどう,endorsement,賛辞,さんじ,"eulogy, compliment"
貸,TAI,ka,lend,貸す,かす,lend,貸家,かしや,house for rent,貸出,かしだし,lending,貸付,かしつけ,loan,賃貸,ちんたい,lease
費,HI,tsui,"expense, cost, spend",費用,ひよう,"cost, expense",消費,しょうひ,consumption,費やす,ついやす,"spend, consume",経費,けいひ,expenses,生活費,せいかつひ,living expenses
資,SHI,.,"assets, resources, capital",資源,しげん,resources,資本,しほん,"funds, capital",資料,しりょう,"materials, data",投資,とうし,investment,資格,しかく,qualifications
賃,CHIN,.,"fare, fee, wages, charge, rent",賃金,ちんぎん,wages,運賃,うんちん,fare,家賃,やちん,rent,宿賃,やどちん,hotel charges,賃借,ちんしゃく,"renting, leasing​"
貨,KA,.,"freight, goods, property",硬貨,こうか,coin,通貨,つうか,currency,貨物,かもつ,"cargo, freight",雑貨,ざっか,miscellaneous goods,外貨,がいか,foreign currency
貧,"HIN, BIN",mazu,"poverty, poor",貧しい,まずしい,"poor, lacking",貧乏,びんぼう,poverty-stricken,貧弱,ひんじゃく,"poor, feeble",貧血,ひんけつ,anemia,貧困,ひんこん,poverty
貿,BOU,.,"trade, exchange",貿易,ぼうえき,"trade, commerce",貿易会社,ぼうえきがいしゃ,trading company,貿易収支,ぼうえきしゅうし,trade balance,貿易赤字,ぼうえきあかじ,trade deficit,貿易障壁,ぼうえきしょうへき,trade barrier
質,"SHITSU, SHICHI",.,"substance, quality, matter",物質,ぶっしつ,"material, substance",品質,ひんしつ,product quality,人質,ひとじち,hostage,気質,きしつ,disposition,本質,ほんしつ,"essence, true nature"
便,"BEN, BIN",taco,"convenience, facility",郵便局,ゆうびんきょく,post office,便利,べんり,convenient,便所,べんじょ,"toilet, lavatory",不便,ふべん,inconvenience,便り,たより,"news, tidings"
使,SHI,tsuka,"use, envoy",大使館,たいしかん,embassy,使う,つかう,use,使用,しよう,"use, application",使命,しめい,"mission, errand",天使,てんし,angel
史,SHI,.,"history, chronicle",歴史,れきし,history,女史,じょし,lady,歴史的,れきしてき,historical,史上,しじょう,in history,歴史家,れきしか,historian
仕,SHI,tsuka,"serve, attend, do, official",仕事,しごと,work,仕方,しかた,"way, method",仕える,つかえる,"serve, work for",仕様,しよう,"way, method",仕組み,しくみ,"structure, construction"
任,NIN,maka,"duty, responsibility, entrust",任せる,まかせる,"leave, entrust",責任,せきにん,"duty, responsibility",就任,しゅうにん,taking up a post,任命,にんめい,appointment,任務,にんむ,"duty, function"
己,"KO, KI",onore,self,自己,じこ,"self, oneself",利己主義,りこしゅぎ,selfishness,自己紹介,じこしょうかい,self-introduction,知己,ちき,acquaintance,自己流,じこりゅう,one's own style
記,KI,shiru,"scribe, account, narrative",日記,にっき,"diary, journal",記録,きろく,record,記憶,きおく,"memory, recollection",記す,しるす,write down,きじゅつ,きじゅつ,"description, account"
紀,KI,.,"chronicle, account, narrative",世紀,せいき,century,紀元前,きげんぜん,"pre-era, bce",紀元,きげん,"era, ce",紀行,きこう,travelogue,紀元後,きげんご,post-era
配,HAI,kuba,distribute,心配,しんぱい,"worry, concern",支配,しはい,"rule, domination",配る,くばる,distribute,配達,はいたつ,delivery,気配,けはい,"indication, sign"
起,KI,o,"rouse, wake up, get up",起きる,おきる,"get up, wake up",起こす,おこす,"raise, wake, cause to",起こる,おこる,"occur, happen",提起,ていき,"raise, bring up",起立,きりつ,standing up
麦,BAKU,mugi,"barley, wheat",蕎麦,そば,"soba, buckwheat",小麦,こむぎ,wheat,小麦粉,こむぎこ,wheat flour,麦芽,ばくが,malt,麦茶,むぎちゃ,barley tea
素,"SO, SU",.,"element, principle, naked",酸素,さんそ,oxygen,水素,すいそ,hydrogen,要素,ようそ,"component, factor",元素,げんそ,element,素敵,すてき,"lovely, nice"
表,HYOU,"arawa, omote","surface, table, chart, diagram",現れる,あらわれる,appears,表現,ひょうげん,expression,表立つ,おもてだつ,become public,発表,はっぴょう,announcement,表す,あらわす,"represent, show"
衣,I,koromo,"garment, clothes, dressing",衣服,いふく,clothes,衣食住,いしょくじゅう,basic necessities,衣類,いるい,"clothes, garments",衣装,いしょう,"clothing, costume, outfit",衣料品,いりょうひん,apparels
装,"SOU, SHOU",yosou,"attire, dress, pretend, disguise",装う,よそおう,to dress ,服装,ふくそう,"garments, attire",包装,ほうそう,"packing, wrapping",装飾,そうしょく,"ornament, decoration​",装置,そうち,"equipment, device"
袋,TAI,fukuro,"sack, bag, pouch",手袋,てぶくろ,glove,紙袋,かみぶくろ,paper bag,袋,ふくろ,"bag, sack, pouch",胃袋,いぶくろ,stomach,革袋,かわぶくろ,leather bag
裂,RETSU,sa,"split, rend, tear",裂く,さく,"tear, rip up",裂ける,さける,"split, tear",分裂,ぶんれつ,"split, division, break up",破裂,はれつ,"bursting, rupture",亀裂,きれつ,"crack, crevice, rift"
製,SEI,.,"made in, manufacture",製品,せいひん,manufactured goods,製造,せいぞう,manufacture,製作,せいさく,manufacture,製法,せいほう,manufacturing method,精製,せいせい,"refining, purification"
串,.,kushi,"spit, skewer",串刺し,くしざし,"skewer, spit",牛串,ぎゅうくし,skewered beef,串団子,くしだんご,skewered dango,串揚げ,くしあげ,kushiage,竹串,たけぐし,bamboo skewer
患,KAN,wazura,"afflicted, disease, be ill",患う,わずらう,"be ill, suffer from",患者,かんじゃ,patient,急患,きゅうかん,emergency case,入院患者,にゅういんかんじゃ,in-patient,疾患,しっかん,"disease, illness"
板,"HAN, BAN",ita,"plank, board, plate, stage",黒板,こくばん,blackboard,板,いた,"board, plank",看板,かんばん,signboard,掲示板,けいじばん,bulletin board,保護板,ほごばん,protective plate
版,HAN,.,"printing block, edition. label",出版,しゅっぱん,publication,絶版,ぜっぱん,out of print​,初版,しょはん,first edition,版権,はんけん,copyright,改訂版,かいていばん,revised edition
仮,"KA, KE",kari,"sham, temporary, interim",仮定,かてい,assumption,仮面,かめん,"mask, disguise",仮説,かせつ,hypothesis,仮眠,かみん,"nap, doze",仮想,かそう,imagination
販,HAN,.,"marketing, sell, trade",販売,はんばい,"sales, sell. marketing",市販,しはん,putting on market,通販,つうはん,online shopping,自販機,じはんき,vending machine​,量販店,りょうはんてん,volume retailer
敗,HAI,yabu,"failure, defeat, reversal",敗れる,やぶれる,be defeated,敗者,はいしゃ,loser,敗因,はいいん,cause of defeat,完敗,かんぱい,complete defeat,連敗,れんぱい,consecutive defeats
失,SHITSU,ushina,"lose, error, fault, loss",失う,うしなう,"to lose, miss",失望,しつぼう,disappointment,損失,そんしつ,loss of assets,失格,しっかく,disqualification,過失,かしつ,"accident, error, fault"
矢,SHI,ya,"dart, arrow",矢,や,arrow,矢印,やじるし,arrow symbol,矢張り,やはり,as expected,矢鱈,やたら,indiscriminately,矢先,やさき,arrowhead
先,SEN,saki,"before, ahead, previous",先輩,せんぱい,senior,先日,せんじつ,the other day,先頭,せんとう,"head. lead, forefront",先端,せんたん,pointed end;,先ほど,さきほど,a while ago
枕,.,makura,pillow,枕,まくら,pillow,枕投げ,まくらなげ,pillow fight,枕元,まくらもと,bedside,抱き枕,だきまくら,hug pillow,箸枕,はしまくら,chopstick rest
沈,CHIN,shizu,"sink, submerged, subside",沈む,しずむ,"sink, submerge",沈黙,ちんもく,silence,沈没,ちんぼつ,sinking,沈める,しずめる,"to sink, submerge",沈着,ちんちゃく,"composure, calmness"
限,GEN,kagi,"limit, restrict, best of ability",限る,かぎる,"to limit, restrict",無限,むげん,infinity,権限,けんげん,"power, authority",制限,せいげん,restriction,限界,げんかい,"limit;,bound"
退,TAI,"shirizo, to, no, hi","retreat, withdraw, retire",退く,しりぞく,to step back,撤退,てったい,evacuation,脱退,だったい,withdrawal,後退,こうたい,retreat,衰退,すいたい,decline
根,KON,ne,root,屋根,やね,roof,根源,こんげん,"root, source",根拠,こんきょ,"basis, grounds",根気,こんき,patience,根本的,こんぽんてき,"fundamental, basic"
恨,KON,ura,"regret, grudge, resentment",恨む,うらむ,"bear a grudge, blame",痛恨,つうこん,regretful,恨み,うらみ,resentment,遺恨,いこん,grudge,悔恨,かいこん,"regret, remorse"
眼,"GAN, GEN",manako,eyeball,眼鏡,めがね,eyeglasses,近眼,きんがん,nearsightedness,肉眼,にくがん,naked eye​,眼差し,まなざし," look, gaze",眼科,がんか,ophthalmology
推,SUI,o,"conjecture, infer, guess, push",推薦,すいせん,"recommendation, referral",推定,すいてい,"presumption, assumption",推測,すいそく,"guess, conjecture",推理,すいり,"reasoning, inference",推進,すいしん,"propulsion, promotion"
維,I,.,"fiber, tie, rope",繊維,せんい,"fibre, textile",維持,いじ,maintenance,維新,いしん,reformation,化学繊維,かがくせんい,synthetic fiber,炭素繊維,たんそせんい,carbon fiber
雅,GA,miyabi,"elegant, graceful, refined",優雅,ゆうが,"elegant, graceful",雅致,がち,"artistry, good taste",雅文,がぶん,elegant literary style,高雅,こうが,"refined, elegant",古雅,こが,classical elegance
雄,YUU,"osu, o","masculine, male, hero, excellent",英雄,えいゆう,"hero, heroine",雄,おす,male,雄弁,ゆうべん,"oratory, eloquence",雄大,ゆうだい,"grand, magnificent",英雄的,えいゆうてき,heroic
誰,.,dare,"who, someone, somebody",誰,だれ,who,誰か,だれか,"someone, somebody",誰にも,だれにも,"anyone, everyone",誰でも,だれでも,anyone,誰も,だれも,"everyone, anyone"
