Kanji.A,Read.A,Mean.A,Kanji.B,Read.B,Mean.B,Kanji.C,Read.C,Mean.C
景色,けしき,scenery,建設,けんせつ,construct・establish,減少,げんしょう,decrease・reduction
血圧,けつあつ,blood pressure,建築,けんちく,construction・architecture,原料,げんりょう,raw materials
血液,けつえき,blood,見物,けんぶつ,sightseeing,公園,こうえん,public park
結果,けっか,result,芸術,げいじゅつ,the arts,講演,こうえん,lecture
結婚,けっこん,marriage,下車,げしゃ,alighting,高温,こうおん,high temperature
欠席,けっせき,absence,原因,げんいん,cause,効果,こうか,effect
欠点,けってん,fault・defect,玄関,げんかん,entrance,交換,こうかん,exchange
公共,こうきょう,public・communal,好物,こうぶつ,favourite dish,今度,こんど,next time・now
工業,こうぎょう,manufacturing industry,後方,こうほう,behind・rear,合格,ごうかく,passing
広告,こうこく,advertisement,交流,こうりゅう,interaction・alternating,合計,ごうけい,sum total
工事,こうじ,construction work,国際,こくさい,international,最近,さいきん,recently
工場,こうじょう,factory,小声,こごえ,low voice,最後,さいご,end・final
紅茶 ,こうちゃ,black tea,故障,こしょう,fault・breakdown,最終,さいしゅう,last・final
校庭,こうてい,schoolyard,個人,こじん,individual・private,最初,さいしょ,beginning
行動,こうどう,action・conduct,小銭,こぜに,small change・coins,最上,さいじょう,best
後輩,こうはい,junior,小鳥,ことり,small bird,財布,さいふ,wallet
交番,こうばん,police box,混雑,こんざつ,congestion・crowding,坂道,さかみち,hill road
作物,さくもつ,crops,試験,しけん,examination,社会,しゃかい,society・community
左折,させつ,left turn​,資源,しげん,resources,写真,しゃしん,photograph
砂糖,さとう,sugar,姿勢,しせい,posture・position・attitude,車道,しゃどう,roadway
参加,さんか,participation,湿気,しっけ,moisture・humidity,斜面,しゃめん,slope・slanting surface
算数,さんすう,calculation,失敗,しっぱい,failure・mistake,習慣,しゅうかん,habit
散歩,さんぽ,walk,指定,してい,designation・specification,集合,しゅうごう,meeting up
材料,ざいりょう,materials・ingredients,支店,してん,branch office,就職,しゅうしょ, getting a job
残業,ざんぎょう,overtime,指導,しどう,guidance,集中,しゅうちゅう,concentration
試合,しあい,match・game,始発,しはつ,first departure,終点,しゅうてん,last stop
四角,しかた,square,芝生,しばふ,lawn・grass,収入,しゅうにゅう,income・revenue
仕方,しかた ,way・method・means,市民,しみん,citizen,修理,しゅうり,repair
支給,しきゅう,provision・supply,氏名,しめい,name・identity,終了,しゅうりょう,close・end
祝日,しゅくじつ,national holiday,趣味,しゅみ,hobby,証明,しょうめい,proof・testimony
縮小,しゅくしょう,reduction,種目,しゅもく,item・event,将来,しょうらい,future
宿題,しゅくだい,homework,種類,しゅるい,variety,初級,しょきゅう,beginner level
手術,しゅじゅつ,surgery,使用,しよう,use・application,食堂,しょくどう,dining room
手段,しゅだん,means,紹介,しょうかい,introduction,食欲,しょくよく,appetite
主張,しゅちょう,claim・advocacy,正月,しょうがつ,new year,食器,しょっき,tableware
出勤,しゅっきん,going to work,小説,しょうせつ,novel,書類,しょるい,document
出身,しゅっしん,one's origin,商売,しょうばい,trade,資料,しりょう,materials・document
出席,しゅっせき,attendance,消費,しょうひ,consumption,進学,しんがく,advancing on next stage
出張,しゅっちょう,business trip,商品,しょうひん,commodity,進行,しんこう,moving forward
信号,しんごう,signal,時代,じだい,period・epoch,受験,じゅけん,taking an exam
申請,しんせい,application・request,自宅,じたく,one's home,順番,じゅんばん,turn in line・order of things
心臓,しんぞう,heart,実家,じっか,parents home​,準備,じゅんび,order of things
進歩,しんぽ,progress,実験,じっけん,experiment,上級,じょうきゅう,advanced level
親友,しんゆう,close friend,実行,じっこう,execution,上空,じょうくう,the skies
森林,しんりん,forest,実際,じっさい,reality・actuality,乗車,じょうしゃ,boarding
時期,じき,time・season・phase,実物 ,じつぶつ,real thing,状態,じょうたい,state・condition
時給,じきゅう,hourly pay,実力,じつりょく,ability・true strength,冗談,じょうだん,joke
時差,じさ,time difference,自慢,じまん,pride・boast​,情報,じょうほう,information
持参,じさん,bringing,住所,じゅうしょ,address,女性,じょせい,woman・female
辞書,じしょ,dictionary,渋滞,じゅうたい,traffic jam,神社,じんじゃ,shinto shrine
事情,じじょう,circumstances,柔道,じゅうどう,judo,人生,じんせい,human life
自信,じしん,self-confidence,授業,じゅぎょう,lesson・class,人体,じんたい,human body
水泳,すいえい,swimming,生物,せいべつ,living thing,税金,ぜいきん,tax・duty
水筒,すいとう,canteen・flask,性別,せいべつ,gender・sex,全然,ぜんぜん,not at all
数回,すうかい,several times,整理,せいり,sorting,全体,ぜんたい,whole・entirety
数学,すうがく,mathematics,世界,せかい,the world,倉庫,そうこ,storehouse
数字,すうじ,numeral・figure,石油,せきゆ,oil・petroleum,掃除,そうじ,cleaning
頭痛,頭痛,headache,接近,せっきん,getting closer,送信,そうしん,transmission・sending
正解,正解,correct answer,説明,せつめい,explanation,想像,そうぞう,imagination
性格,せいかく,character・personality,背中,せなか,back,早退,そうたい,leaving early
生活,せいかつ ,life・living,世話,せわ,care・looking after,相談,そうだん,consultation・discussion
制限,せいげん,restriction,洗剤,せんざい,detergent,早朝,そうちょう,early morning
成功,せいこう,success,選手,せんしゅ,player・athlete,想定,そうてい,hypothesis・supposition
成績,せいせき,results・record,先日,せんじつ,the other day,卒業,そつぎょう,graduation
清掃,せいそう,cleaning,洗濯,せんたく,washing・laundry,祖父,そふ,grandfather
生徒,せいと,pupil,宣伝,せんでん,publicity・advertising,祖母,そぼ,grandmother
正答,せいとう,correct answer,先輩,せんぱい,senior,尊敬,そんけい,respect・honour
製品,せいひん,manufactured goods,専門,せんもん,speciality,増加,ぞうか,increase
制服,せいふく,uniform,線路,せんろ,railway line,退院,たいいん,leaving hospital
退会,たいかい,withdrawal・unsubscribing,代金,だいきん,price・cost・charge・bill・fee,中級,ちゅうきゅう,intermediate level
大会,たいかい,tournament,台所,だいどころ,kitchen,中古,ちゅうこ,used・second-hand
退屈,たいくつ,tedious・boring,代表,だいひょう,representation,中止,ちゅうし,interruption
滞在,たいざい,stay,男女,だんじょ,men and women,駐車,ちゅうしゃ,parking
体操,たいそう,gymnastics,男性,だんせい,man・male,昼食,ちゅうしょく,lunch
台風,たいふう,typhoon,団体,だんたい,group・party・organization,中旬,ちゅうじゅん,middle of a month
太陽,たいよう,sun,暖房,だんぼう,indoor heating,中心,ちゅうしん,center・middle
大量,たいりょう,large quantity,地下,ちか,underground,注文,ちゅうもん,order・request
体力,たいりょく,stamina・endurance,地球,ちきゅう,earth・the globe,調査,ちょうさ,investigation
沢山,たくさん,a lot,遅刻,ちこく,lateness,調子,ちょうし,tune・tone・condition
卓球,たっきゅう,table tennis,知識,ちしき,knowledge,頂上,ちょうじょう,summit
建物,たてもの,building,地図,ちず,map・chart,朝食,ちょうしょく,breakfast
単語,たんご,word・vocabulary,父親,ちちおや,father,調節,ちょうせつ,regulation
担任,たんにん,being in charge of,注意,ちゅうい,attention・caution,長男,ちょうなん,eldest son
鳥類,ちょうるい,birds,点数,てんすう,marks・points・score,同席,どうせき,being present
貯金,ちょきん,savings・deposit,店長,てんちょう,shop manager,動物,どうぶつ,animal
直接,ちょくせつ,direct・immediate・personal,電球,でんきゅう,light bulb,同様,どうよう,same・similar・like・equal
通学,つうがく,school commute,伝言,でんごん,verbal message,努力,どりょく,effort
通勤,つうきん,commuting to work,電卓,でんたく,calculator,内緒,ないしょ,secrecy・confidentiality
通行,つうこう,passage・passing,電池,でんち,battery・cell​,内容,ないよう,contents
通訳,つうやく,interpretation,当日,とうじつ,appointed day,仲間,なかま,companion
通路,つうろ,passage・pathway,登場,とうじょう,entrance on stage,中身,なかみ,contents・interior・filling
月日,つきひ,time・years・days,到着,とうちゃく,arrival,納得,なっとく,consent・agreement
都合,つごう,circumstances・arrange,都会 ,とかい,city,名札,なふだ,name plate・label
定員,ていいん,fixed number of people,特徴,とくちょう,feature・trait,日常,にちじょう,daily・usual day
停車,ていしゃ,stopping of a vehicle,独立,どくりつ,independence,日記,にっき,journal
定食,ていしょく,set meal・special of the day,時計,とけい,clock・watch,日光,にっこう,sunlight
停電,ていでん,power outage,土地,とち,plot of land,日程,にってい,schedule・program
手紙,てがみ,letter,途中,とちゅう,on the way,荷物,にもつ,luggage
手帳,てちょう,notebook・memo pad,特急,とっきゅう,limited express,入試,にゅうし,entrance examination
鉄道,てつどう,railroad,徒歩,とほ,walking・going on foot,入社,にゅうしゃ,joining a company
手袋,てぶくろ,glove,同意,どうい,agreement・consent,入門,にゅうもん,beginning training・primer
天気,てんき,weather,道具,どうぐ,tool・apparatus,入力,にゅうりょく,input・data entry
天井,てんじょう,ceiling,同時,どうじ,simultaneous・same time,人気,にんき,popular
人数,にんずう,number of people,番組,ばんぐみ,programme,双子,ふたご,twins
値段,ねだん,price・cost,番号,ばんごう,number・series of digits,普段,ふだん,usual・normal
寝坊,ねぼう,sleeping in late・oversleeping,比較,ひかく,comparison,普通,ふつう,normal・ordinary
年齢,ねんれい,age・years,秘書,ひしょ,private secretary,布団,ふとん,futon
農業,のうぎょう,agriculture,左手,ひだりて,left hand,古着,ふるぎ,old clothes
配達,はいたつ,delivery,否定,ひてい,denial・negation,風呂,ふろ,bath
発音,はつおん,pronunciation,人々,ひとびと,people,部長,ぶちょう,section head
発見,はっけん,discovery,避難,ひなん,taking refuge,物価,ぶっか,prices of commodities
発生,はっせい,occurrence・outbreak,秘密,ひみつ,secret・confidentiality,部品,ぶひん,parts・accessories
発展,はってん,development・growth,表紙,ひょうし,cover・binding,部分,ぶぶん,portion・section・part
発売,はつばい,sale・launch・release,表面,ひょうめん,surface・exterior,文化,ぶんか,culture
発表,はっぴょう,announcement,昼寝,ひるね,nap・siesta,文章,ぶんしょう,writing・composition
花火,はなび,fireworks,病気,びょうき,illness・disease・sickness,文鳥,ぶんちょう,sparrow
花見,はなみ,cherry blossom viewing,夫婦,ふうふ,married couple,分類,ぶんるい,classification・categorization
母親,ははおや,mother,復習,ふくしゅう,review・revision,閉園,へいえん,closing of a park
反対,はんたい,opposition,複数,ふくすう,plural・multiple,平均,へいきん,average・mean・balance
半年,はんとし,half a year,服装,ふくそう,attire・dress・clothes,平日,へいじつ,weekday
半分,はんぶん,half,腹痛,ふくつう,stomach ache,部屋,へや,room
売店,ばいてん,stand・stall・booth,不足,ふそく,insufficiency・discontent,変化,へんか,change・variation
返事,へんじ,reply・answer,窓口,まどぐち,counter・teller window,目標,もくひょう,goal・target
勉強,べんきょう ,study,満員,まんいん,full house,文字,もじ,letter・character
弁当,べんとう,bento,漫画,まんが,cartoon,物語,ものがたり,story・tale
方角,ほうがく,direction・way,満足,まんぞく ,satisfaction・sufficient,文句,もんく,complaint・phrase
方向,ほうこう,direction・orientation,見方,みかた,viewpoint,問題,もんだい,problem
報告,ほうこく,report・information,道順,みちじゅん,route・way・course,野球,やきゅう,baseball
放送,ほうそう,broadcasting,見本,みほん,sample・specimen,役所,やくしょ,government office
方法,ほうほう,method・process,未来,みらい,distant future,約束,やくそく,promise・appointment
訪問,ほうもん,call・visit,虫歯,むしば,cavity・tooth decay,役割,やくわり,part・role・duties
歩道,ほどう,footpath・walkway,息子,むすこ,son,野菜,やさい,vegetable
本日,ほんじつ,today・this day,無理,むり,unreasonable・impossible,家賃,やちん,rent
本棚,ほんだな,bookshelves,名刺,めいし,business card,屋根,やね,roof
翻訳,ほんやく,translation,命令,めいれい,order・command,山道,やまみち,mountain trail
貿易,ぼうえき,foreign trade,免許,めんきょ,license,夕方,ゆうがた,evening・dusk​
帽子,ぼうし,hat,面接,めんせつ,interview,優勝,ゆうしょう,overall victory
募集,ぼしゅう,recruitment・selection,毛布,もうふ,blanket,友情,ゆうじょう,friendship
迷子,まいご,lost child,目的,もくてき,purpose,友人,ゆうじん,friend
郵送,ゆうそう,mailing・posting,用品,ようひん,articles・supplies,両替,りょうがえ,change・money exchange
郵便,ゆうびん,mail service,洋服,ようふく,western-style clothes,料金,りょうきん,fee・charge
有料,ゆうりょう,fee-charging・paid,翌日,よくじつ,next day,両親,りょうしん,parents
輸出,ゆしゅつ,export,予想,よそう,expectation・anticipation,両方,りょうほう,both sides
輸入,ゆにゅう,import,予定,よてい,plans・arrangement,料理,りょうり,cooking
用意,ようい,preparation・arrangements,夜中,よなか,middle of the night,旅行,りょこう,travel
容器,ようき,container,予報,よほう,forecast・prediction,例文,れいぶん,example sentence
用具,ようぐ,tool・implement,予約,よやく,reservation・appointment,列車,れっしゃ,train・railway train
用紙,ようし,blank form・sheet of paper,来店,らいてん,coming to a store,練習,れんしゅう,practice・training
用事,ようじ,tasks・errand,理由,りゆう,reason,連絡,れんらく,contacting
洋式,ようしき,western-style,留学,りゅうがく,studying abroad,廊下,ろうか,hallway
洋食,ようしょく,western food,流行,りゅうこう,fashion・trend,録音,ろくおん,audio recording
様子,ようす,state・situation,利用,りよう,use・utilization,論文,ろんぶん,thesis・essay
若者,わかもの,young person,和食,わしょく,japanese food,割合,わりあい,rate・ratio・percentage
割引,わりびき,discount・reduction,割安,わりやす,economical,割高,わりだか,comparatively high
儀式,ぎしき,ceremony・rite,図表,ずひょう,chart・diagram・graph,製図,せいず,drafting・drawing
公式,こうしき,official・formal,意図,いと,intention・aim・design,図版,ずはん,plate・illustration
株式,かぶしき,share・stock,指図,さしず,directions・instructions,構図,こうず,structural outline
正式,せいしき,due form・official,図面,ずめん,drawing・diagram,図示,ずし,representing graphically​
形式,けいしき,form・format・style,図式,ずしき,diagram・graph・schema,図説,ずせつ,illustration・diagram
様式,ようしき,style・form・pattern,図柄,ずがら,design・pattern​,座席,ざせき,seat
方式,ほうしき,form・method・system,図解,ずかい,illustration・diagram,講座,こうざ,course
式典,しきてん,ceremony・rites,図形,ずけい,figure・shape・graphic,即座,そくざ,immediate
青信号,あおしんごう,green light,高校生,こうこうせい,senior high school student,祖父母,そふぼ,grandparents
赤信号,あかしんごう,red light ,交差点,こうさてん,intersection,短時間,たんじかん,short time
一部分,いちぶぶん,one portion,五角形,ごかくけい ,pentagon,大学生,だいがくせい,university student
腕時計,うでどけい,wristwatch,再来週,さらいしゅう,week after next,中学生,ちゅうがくせい,junior high school student
運転手,うんてんしゅ,driver,指導係,しどうがかり,instructor,長時間,ちょうじかん,several hours
運動靴,うんどうぐつ,sports shoes,市役所,しやくしょ,municipal office,調味料,ちょうみりょう,seasoning・condiment
応援歌,おうえんか,cheering song,週刊誌,しゅうかんし,weekly publication,天気図,てんきず,weather map
顔写真,かおじゃしん,portrait photo,奨学金,しょうがくきん,scholarship,同級生,どうきゅうせい,weather map
観光客,かんこうきゃく,tourist,小学生,しょうがくせい,elementary student,人数分,にんずうぶん,per-capita division
感謝祭,かんしゃさい,thanksgiving day,消費量,しょうひりょう,amount of consumption,歯医者,はいしゃ,dentist
管理人,かんりにん,administrator,新幹線,しんかんせん,shinkansen,不動産,ふどうさん,real estate
緊張感,きんちょうかん,feeling of tension,新入生,しんにゅうせい,new student,文房具,ぶんぼうぐ,stationery
警察官,けいさつかん,police officer,自転車,じてんしゃ ,bicycle,免許証,めんきょしょう,licence
掲示板,けいじばん,bulletin board,自動車,じどうしゃ,car,郵便局,ゆうびんきょく,post office
血液型,けつえきがた,blood type,事務所,じむしょ,office,留学生,りゅうがくせい,overseas student
結婚式,けっこんしき,marriage ceremony,受験生,じゅけんせい,test-taker,冷蔵庫,れいぞうこ,refrigerator
赤ちゃん,あかちゃん,baby・infant,お菓子,おかし,confections,お手洗い,おてあらい,toilet
空き家,あきや,vacant house,お代わり,おかわり,refill,お年玉,おとしだま,new years gift
辺り,あたり,neighbourhood,奥さん,おくさん,wife,お腹,おなか,belly
当たり前,あたりまえ,natural・usual,押入れ,おしいれ,built in closet,お見舞い,おみまい,enquiry・visit an ill person
扱い,あつかい,treatment・service・handling,お仕舞い,おしまい,end・closing・that’s enough,お土産,おみやげ,present・souvenir 
一方通行,いっぽうつうこう,one-way traffic​,お洒落,おしゃれ,smartly dressed・stylish,お襁褓,おむつ,diaper
横断禁止,おうだんきんし,no crossing,お知らせ,おしらせ,notice,思い出,おもいで,memories
横断歩道,おうだんほどう,pedestrian crossing,お釣り,おつり,change for a purchase,玩具,おもちゃ,toy
お礼,おれい,thanks・gratitude,傘立て,かさたて,umbrella stand, 環境問題,かんきょうもんだい,environmental problem
海外旅行,かいがいりょこう,trip abroad,家庭教師,かていきょうし,private tutor, 缶コーヒー,かんこーひー,canned coffee
香り,かおり,aroma・fragrance・smell,金持ち,かねもち,rich person,黄色信号,きいろしんごう,yellow
踵,かかと,heel,鞄,かばん,bag,木の実,きのみ,nut・fruit
鍵,かぎ,key,代わり,かわり,substitute,決まり,きまり,rule・settlement
各駅停車,かくえきていしゃ,local train,換気扇,かんきせん,ventilation fan,癖,くせ,habit・tendency・ peculiarity
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
諦める,あきらめる,give up,当たる,あたる,in contact・be hit,表す,あらわす,represent・reveal
飽きる,あきる,get tired of,扱う,あつかう,deal with・handle,表れる,あらわれる,appear
空く,あく・すく,open・get empty,集まる,あつまる,gather・collect,現れる,あらわれる,appear
空ける,あける,open・unwrap,集める,あつめる,to gather・collect,慌てる,あわてる,flustered
憧れる,あこがれる,long for,溢れる,あふれる,overflow,怒る,いかる・おこる,get angry
預ける,あずける,entrust・deposit,余る,あまる,remain・in excess,急ぐ,いそぐ,to hurry
与える,あたえる,give・bestow,編む,あむ,knit・braid,抱く,いだく・だく,embrace・hold
温める,あたためる,warm・heat up,謝る,あやまる,apologize,痛む,いたむ,hurt・feel pain
居る,いる,to be・exist,打つ,うつ,to hit,置く,おく,to put・place・leave
要る,いる,need,映る,うつる,be reflected・displayed,送る,おくる,send・spend time
植える,うえる,to plant,移る,うつる,move・transfer,贈る,おくる,to give・present
伺う,うかがう,ask・call・pay a visit,写る,うつる,be photographed,遅れる,おくれる,to be late・delayed
浮く,うく,to float・be merry,埋める,うめる,bury・fill up・bridge a gap,行う,おこなう,perform・conduct
受ける,うける,receive,描く,えがく・かく,to draw・depict,抑える,おさえる,pin down・cover・seize
疑う,うたがう ,to doubt,選ぶ,えらぶ,to choose,押す,おす,push・press
落ちる,おちる,fall・drop,溺れる,おぼれる,struggle in the water,返す,かえす,to return・turn over
落とす,おとす,to drop・let fall,折る,おる,to break・fold・bend,替える,かえる,replace・exchange
踊る,おどる,to dance,折れる,おれる,be broken・fracture・folded,換える,かえる,replace・exchange
驚く,おどろく,be surprised,下ろす,おろす,take down・unload・withdraw,変える,かえる,change・alter
覚える,おぼえる,memorize・remember,飼う,かう,to keep・have・raise,輝く,かがやく,to shine・light up
