L5,L4,L3,L2,L1
左を向いてください。,彼は上京して絵を習っている。,,,
窓が左手にあります。,京都駅へ行く道を教えてくれませんか。,,,
車は急に左折した。,帰京の途にある。,,,
友人は少ししかいない。,道に大きな足跡が残されていた。,,,
友達が欲しい。,スープにもう少し塩を足してください。,,,
バスで旧友にばったり会った。,食糧は十分足りる。,,,
夜は雨になるらしい。,この店は多くの商品を取り扱っている。,,,
大雨のため私たちは出かけられなかった。,いくつかの品物を特売に回す。,,,
雨具をお持ちになりましたか。,この石けんは品質がよい。,,,
ガソリンはひじょうに火がつきやすい。,彼女は制服を着ていた。,,,
部屋で火災が起きた。,暗くならないうちに目的地に着いた。,,,
昨日の花火見た？,着陸できる場所を探す。,,,
毎晩そのことについてぎろんした。,別居はどれくらい続いたのか?,,,
毎度ごひいきにありがとうございます。,彼女と別れてもう長いことになる。,,,
私は毎朝銀座で地下鉄に乗る。,サイズごとに別々の箱に入れる。,,,
ゆっくり休んでね。,彼は音楽を聞き分ける力がある。,,,
休日を楽しみなさい。,ピアノとバイオリンでは音色が違う。,,,
休暇はどうでしたか。,私のステレオはあなたのより音質が悪い。,,,
私は午後を寝て過ごした。,読んだら元の所に戻しておいてください。,,,
彼女は午前７時に起きる。,水は２元素に分解する。,,,
母は午前中病院に行きます。,たいていの子供は元来虫が好きである。,,,
,ただ今特別申し上げることはありません。,,,
,仕事を特急で仕上げる。,,,
,各国民にはそれぞれ独特の性格がある。,,,
,かぜの引きかけに無理をしないように。,,,
,風呂が沸いた。,,,
,関東地方は今回の台風の進路に当たっている。,,,
,夜だけ出てくる動物はたくさんいる。,,,
,このバーは深夜営業だ。,,,
,夜明けにはまだ間がある。,,,
,空港に着陸する。,,,
,あと二つ机が入るだけの空きはありますか。,,,
,部屋は家具もなくからっぽだった。,,,
,田舎に農場がある。,,,
,そこは避暑地として有名である。,,,
,この薬は頑固な頭痛に有効だ。,,,
,昨夜はずっと起きていた。,,,
,彼はその企画について問題を提起した。,,,
,転んだ子供を起こしてやった。,,,
,犬は毎日運動させる必要がある。,,,
,けが人を急いで病院に運んだ。,,,
,東京から京都までの運賃はいくらですか。,,,
,食卓に料理を並べる。,,,
,この資料はとても役に立つ。,,,
,この自動車はアルコールを燃料に使う。,,,
,喫茶店で流している音楽。,,,
,彼と一緒に歩くのは楽しかった。,,,
,自動車を買ったから日曜はドライブを楽しめる。,,,
,この沿線には景色のよい所が多い。,,,
,この大学の最大の特色は留学生の多いことである。,,,
,確か髪は明るめの茶色だった。,,,
,帰る途中で本屋に寄った。,,,
,教室の掃除が終わったら帰宅してよろしい。,,,
,日光は日帰りが出来ます。,,,
,犬を散歩に連れて行く。,,,
,この調子で歩けば30分で着くだろう。,,,
,経営者側はその要求に対して譲歩した。,,,
,君が早く報告しないから悪いんだ。,,,
,悪魔に取り付かれる。,,,
,病状は悪化の様相を見せている。,,,
,最新型自動車の広告を新聞や雑誌に出した。,,,
,この瓶は口が広い。,,,
,鳥が翼を広げた。,,,
,歩き疲れた時に一休みできる喫茶店です。,,,
,彼は銀座に店を三つ持っている。,,,
,今日は会社商店は皆休みだ。,,,
,土曜日には必ず町に出掛ける。,,,
,町長を務める。,,,
,そのため周囲の景色や町並みは大きく異なります。,,,
,ご住所はどちらですか。,,,
,この家は久しく人が住んでいない。,,,
,この居住施設は大学によって運営されている。,,,
,この品は明日から販売されます。,,,
,その農夫は野菜を売って歩いた。,,,
,新製品がよく売れる。,,,
,彼の成功を期待している。,,,
,何分くらいなら待てますか。,,,
,ホーム上に待合室を持つ。,,,
,その祭りの起源は非常に古い。,,,
,中等教育は依然としてイーリアスなどの古典が教えられた。,,,
,中古住宅を探している。,,,
,雨が降り始めた。,,,
,その集まりで彼は始終にこにこしていた。,,,
,この列車は新宿始発だ。,,,
,試験はすぐに終わる。,,,
,最終的にどうなるか分からない。,,,
,祭りは夜更けになってようやく終了した。,,,
,湯がわくまでの時間を計ってみよう。,,,
,県当局はこの地域の開発を計画している。,,,
,この駅の設計はよくない。,,,
,この病院は50人の患者を収容することが出来る。,,,
,彼女は少なくとも週一回美容院へ行く。,,,
,横浜デザイン学院へ入学金。,,,
,我が社は世界各地に製品を送ります。,,,
,近ごろは新鮮な野菜の輸送に飛行機が使われる。,,,
,彼の送別会が行われた。,,,
,公園は近所の家族連れで賑わっていた。,,,
,水族館へ行く道を教えてくれますか。,,,
,私の親族は皆この町に住んでいる。,,,
,彼は鏡に自分の姿を映して見た。,,,
,あの赤いコートを着ると彼女は映える。,,,
,その映画館ではいつもいい映画をやっている。,,,
,昨日銀座へ買い物に行った。,,,
,株の売買で大もうけした。,,,
,お客の購買意欲をそそるように商品の配置を工夫する。,,,
,病気で学校を休んだ。,,,
,彼女は夫の看病疲れで倒れてしまった。,,,
,伝染病がその地方で大流行している。,,,
,結果を発表するのはまだ早い。,,,
,早速本題に入ってよろしいですか。,,,
,金曜の早朝の飛行機にします。,,,
,それは何か半透明な物質で出来ていた。,,,
,品質を検査する。,,,
,現象の背後にある本質を捕らえねばならない。,,,
,私は母が台所を掃除するのを手伝った。,,,
,台風は南方海上で発達しつつある。,,,
,寝台を組み立てる。,,,
,週に１回水泳教室に通っている。,,,
,駅舎には待合室がある。,,,
,浴室付きの二人部屋をお願いしています。,,,
,免許証がなければ自動車運転は許可されない。,,,
,うまくいく可能性は十分ある。,,,
,君の行動は僕には不可解だ。,,,
,トンネルの建設を計画する。,,,
,この橋は二年前に建てられた。,,,
,いつでも課税権を行使できるというのが建前だ。,,,
,彼は20キロの道を自転車で行った。,,,
,階段を一段踏み外して転んだ。,,,
,運転手は車の中で寝ていた。,,,
,この物質は医学的には無害である。,,,
,彼は昨年医者を開業した。,,,
,彼は夏以来ずっと医療を受けている。,,,
,彼は足を止めて地図を見た。,,,
,痛みがやむまで起き上がれなかった。,,,
,犬の放し飼いは法律により禁止されている。,,,
,君はこの漢字が読めますか。,,,
,消えかけの大きな字が見えるだろ。,,,
,彼は数字に強い。,,,
,あなたがこの工場で働く女性の担当になります。,,,
,これは私が工夫した計画です。,,,
,政府は工業の振興計画を開始した。,,,
