P1,T1,P2,T2,P3,T3
暗黒の大陸,continent of darkness,はっきり答える,answers clearly,沢山必要ですか,need a lot?
大いに異なっている,differs a lot,初めに来た,first to arrive,全て済んだ,it's all done
容易な方法,easy way,若い技師,young engineer,深い霧,thick fog
すでに出かけた,already left,大した功績,great achievement,ずいぶんおしゃれだね,very stylish
近い距離,near distance,結構面白い,quite interesting,もう晴れたよ,cleared up already
いろんな知識,various knowledge,かなり寒い,considerably cold,長い旅,long trip
主たる輸出品,principal exports,姿勢がいい,good posture,初めて遊んだ,first time to play
深く交わっている,deeply intertwined,単なる冗談,just a joke,いやいや勉強して,study reluctantly
深い眠り,deep sleep,綺麗に洗って,wash carefully,だいぶ暖かい,pretty warm
そういう習慣,such customs,おそらく遅れる,probably late,変わったこと,changed thing
たくさん倒れた,many fell down,そういう理由,such reason,先ほど帰宅した,got home a while ago
評判が高い,high reputation,辛くて涙を流した,shed bitter tears,注意深い観察,careful observation
冷たく感じる,feels cold,あらゆる職業,every profession,優れて大変だ,exceedingly difficult
上手く利用する,make good use of,まあまあ見られた,not so bad to watch,収入が少ない,small income
ほんの子供,just a child,うっかり忘れる,slip my mind,ある意味正しい,right in a way
高い品質,high quality,良い印象,good impression,経験豊富,well experienced
ギリギリ間に合う,just in time,見ておくべきだ,you should see it,そういう人,such people
たくさん食べちゃった,ate a lot,雨が少ない,little rain,新たな光,new light
長い手紙,lengthy letter,ちゃんと聞いて,listen properly,ありうべき証拠,possible proof
わずかにカーブした,curve slightly,皮肉っぽい話した,spoked with sarcasm,ああいう風,a way like that
辛い仕事,hard job,たくさん食べる,eats a lot,詳しく説明した,explained in details
全て嫌いである,i hate everything,まったく困らない,not bothers really,ゆっくり眠れない,can't sleep well
まもなく始まる,will start soon,近い博物館,nearest museum,遠い親戚,distant relation
冗談でしょ？,are you kidding me?,大切に育てる,raise carefully,きっと勝つ,certainly will win
よき隣人,good neighbor,安全な場所,safe locations,あるべき場所,ideal place
安く買える,can buy cheaply,青い空,blue sky,深く後悔する,regret deeply
ドラマの撮影,filming a drama,安全委員会,safety committee,役に立つでしょう,it'll help
すっかり疲れた,tired completely,すっかり曇った,clouded completely,あらかじめ準備して,prepare before
家でのんびり,relax at home,良い席,good seats,守るべきです,we should protect them
こつこつ勉強する,study steadily,あれだけ経験,so much experience,きっと来る,surely will come
深く読む,read deeply,そんな危険,such danger,良き先輩,a good senior
青白い顔,pale face,単なる偶然,a mere coincidence,安全なスピード,safe speed
架空のもの,fictitious thing,早く帰った,back quickly,あらゆる種類,every type
冷たい反応,cold reaction,おそらく来るだろう,they'll probably come,色んなところ,various places
若い夫婦,young couple,最後にきた,came finally,たびたび訪れた,visited often
信じるべきでない,you shouldn't believe it,あらゆる素材,all materials,小さい池,small pond
ひきょうなやり方,dirty trick,そんな間違い,such a mistake,安全保障,security
また来てね,come again,深く吸って,inhale deeply,少し乗ろう,let’s ride a bit
甘い香りの花,sweet smelling flowers,きれいに掃除した,cleaned neatly,いろんな予想,various predictions
柔軟に対応する,work flexibly,かわった話,different story,よく徹夜する,often stay up all night
深い痛手,serious wound,古画が多い,many old paintings,質素な生活,a frugal lifestyle
無事に持ってきた,return safely,ある女性,a woman,深い愛情,deep affections
高い理想,high ideals,よぶよぶになる,become shaky,辛い経験,painful experience
最寄りの駅,the nearest station,少し疲れた,a little tired,栄養のバランス,nutritional balance
悪い習慣,bad habit,あまり見えない,can't see much,青い顔,pale face
大した事,big deal,よき友,a good friend,深い森,deep forest
昔建てられた,built in the past,深い学識,profound learning,めっちゃハマっている,i’m really into it
新しい雑誌,new magazine,小さい粒子,tiny particle,いちばんおいしい,most delicious
極めて明快だ,extremely clear,きちんと動かない,can't move accurately,非常に危ない,very dangerous
ルール違反,against the rules,山のふもと,the foot of a mountain,実に頭がいい,really/very clever
にっこり笑う,"grin, smile",もっとも忙しい,extremely busy,きっと雨だよ,it's gonna rain.
学生でしょ？,"you're a student, right?",長い時間,long time,多い鳥,many birds
悪い成績,poor grades,青いバナナ,green banana,コツコツ勉強した,studied hard
あらゆる努力,all kinds of effort,青い線,blue line,礼儀正しい,good manners
ビショビショになっちゃった,become soaking wet,病気らしい,sickly,ある物,a thing
仕事熱心,work enthusiastic,深い関係,close relationship,簡潔に話す,speak briefly
しばしば変わる,change frequently,主たる論点,main issues,面白くない試合,uninteresting game
