W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
中止,abort,段取り,arrangement,田舎,country,より,than,煎る,boil,ボールペン,ballpoint pen
中心,center,段階,stage,祈る,pray,そう,so.,炒る,roast,バナナ,banana
中心地,central location,団結,unity,一杯,a cup,少し,a little,入る,enter,包帯,bandage
昼食,lunch,だらし無い,sloppy,石,stone,ほど,about,売る,sell,バンソウコウ,bandaids
中央,central,脱出,escape,一生懸命,hard,待つ,wait,得る,get,銀行,bank
代,substitute,妥当,reasonable,急ぐ,hurry,方,how to,得る,get,前髪,bangs
大部分,majority,出来上がる,ready,糸,thread,庭,garden,折る,fold,岸,bank (river)
代表,representative,電源,power supply,邪魔,hindrance,管理,management,居る,be,バー,bar (cafe)
代表者,representative,電気屋,electrician,字,character,無許可,without permission,織る,weave,バーベキュー,barbecue
大臣,minister,電波,electric wave,時代,age,漢字,chinese characters,刈る,reap,バスケットボール,basketball
代金,representative,伝染,contagion,事故,accident,特徴,feature,来る,come,風呂,bath
代理,delegate,伝達,transmission,事務所,office,だって,because,蹴る,kick,バスタオル,bath towel
大成功,great success,でたらめに,bullshit,神社,shrine,行動,action,去る,leave,海水帽,bathing suit
大小,big and small,土台,foundation,人口,population,住宅,housing,為る,do,風呂場,bathroom
大都会,big city,独占,exclusive,地震,earthquake,歌う,singing,為す,do,バスルーム,bathroom
大統領,president,読者,reader,辞典,dictionary,二人,two people,剃る,shave,バッテリー,battery
黙る,silence,独身者,bachelors,自由,freedom,気にかかる,concerned,剃る,shave,電池,battery
段,dan,道中,on the road,女性,women,答える,answer,散る,scatter,ビーチ,beach
だんだん:,gradually,動機,motivation,準備,preparation,派,group,釣る,fish,浜,beach
男女,men and women,同居,living together,十分,enough,それに,besides,吊る,hang,豆,beans
男子,men,同年代,same age,住所,address,支払,payment,照る,shine,華美な,beautiful
団体,group,導入,introduction,壁,wall,能力,ability,取る,take,すばらしい,beautiful (splendid)
だるい,sluggish,動作,behavior,課長,chief,映画,movie,撮る,take,美しい,beautiful
出会い,meet,同等,equality,帰り,return,鳴く,sound,採る,pick,きれいな,beautiful (pretty)
出会う,encounter,絵本,picture book,変える,change,知る,know,捕る,catch,美容院,beauty parlor
出来事,event,影響力,influence,科学,science,だめ,no,鳴る,sound,ベッド,bed
電池,battery,映像,picture,鏡,mirror,言葉,words,為る,be,寝台,bed (bunk)
伝言,message,駅前,in front of station,海岸,coast,記録する,record,成る,be,ミツバチ,bee (honeybee)
電球,light bulb,延長,extension,会議,conference,何か,something,生る,be like,牛肉,beef
電子,electronic,円形,round,会議室,conference room,歩く,walk,似る,resemble,ビール,beer
電子レンジ,microwave oven,演じる,perform,会場,venue,増す,increase,煮る,boil,始まる,begin
伝統,tradition,円満,round,会話,conversation,失敗,failure,塗る,paint,初心者,beginner
度,degree,襟,collar,火事,fire,相談,consult,寝る,sleep,後,behind
どきどき,throbbing,不安定,unstable,掛ける,multiply,自分で,by myself,練る,knead,ベルト,belt
毒,poison,不調,unsteady,格好,posture,可能,possible,乗る,get on,元気になる,better (to get)
独立,independence,不動産,real estate,構う,look,戻る,return,載る,put on,快復する,better (to get)
独身,singleness,不動産屋,real estate agent,髪,hair,作る,make,貼る,put up,重炭酸ソーダ,"bicarb, baking soda"
読書,reading,不十分,inadequate,噛む,bite,大きな,big,張る,put up,自転車,bicycle
独特,unique,不快,unpleasant,家内,home,方,direction,降る,fall,空気入れ,bicycle pump
泥,mud,不可欠,imperative,必ず,always,話す,speak,振る,shake,自転車屋,bicycle repairman
努力,effort,深まる,deepen,悲しい,sad.,音楽,music,減る,decrease,ビキニ,bikini
同一,identical,深める,deepen,金持ち,rich,方法,method,経る,elapse,勘定,bill
当時,at the time,不完全,incomplete,考える,think,仕方,how,掘る,dig,玉突きをする,billiards
同時,simultaneous,不機嫌,unhappy,関係,relationship,かもしれない,may be,彫る,carve,誕生日,birthday
銅貨,copper coin,付近,proximity,彼女,her,人気,popularity,観る,watch,ビスケット,biscuit
どうか:,same,不規則,irregular,簡単,easy,無論,of course,見る,see,かむ,bite
同級生,same class,副,vice,顔,face,ばかり,only,診る,examine,苦い,bitter
道路,road,含める,include,彼,him,病院,hospital,盛る,serve,黒い,black
同僚,colleague,膨らます,inflate,彼ら,they,教育,education,漏る,leak,味のない,bland (taste)
動詞,verb,膨らむ,swell,形,shape,効果,effectiveness,寄る,come from,毛布,blanket
どうしても,by all means,福祉,welfare,硬い,hard,みんな,everyone,因る,cause,キャベツ,cabbage
道徳,moral,複数,multiple,片付ける,put away,可能,possible,遣る,do,船室,cabin
同様,similarly,普及,spread,勝つ,win,疑惑,suspicion,割る,break,ケーキ,cake
柄,pattern,不明,unclear,乾く,dry,笑う,laugh,覆う,cover,ケーキ屋,cake shop
描く,draw,不明瞭,unclear,代わり,replace,法律,law,匂う,smell,お菓子屋,cake shop
笑顔,smile,ふもと,underneath,変わる,change,帽子,hat,誓う,swear,呼び出し,call
永遠,eternity,ふらふら,wandering,通う,pass,マイル,miles,使う,use,電話をする,call (phone)
営業,sales,触れ合い,touching each other,飾る,decorate,件,matter,違う,differ,と言う,called (name)
影響,impact,触れ合う,touch each other,毛,hair,無表情,expressionless,願う,wish,と言います,called (name)
永久,eternity,振り込み,turning around,怪我,hurt,死ぬ,dying,救う,save,カメラ,camera
衛星,satellite,振り向く,turn around,計画,plan,大根,radish,掬う,scoop up,手ぶれ補正機能,image stabilization
栄養,nutrition,不良品,defective,経験,experience,一緒,together,襲う,assault,キャンプする,camp (camping)
円,yen,塞ぐ,block,警察,police,不潔,filthy,誘う,invite,キャンプ場売店,camping shop
演技,acting,不採用,reject,経済,economy,使う,use,歌う,sing,キャンプ場,camp site
援助,assistance,負担,burden,見物,spectacle,だろうか,i wonder,慕う,adore,カー,car
延期,postponement,風,wind,喧嘩,fights,意味,meaning,雇う,hire,キャンプ,camp
遠足,field trip,不愉快,unpleasantness,研究,research,友,friend,叶う,fulfill,キャンプ案内,camping guide
演奏,performance,街,city,研究室,laboratory,椅子,chair,担う,bear,使用許可書,permit to use
演説,speech,外観,appearance,消しゴム,eraser,嫌,dislike,奪う,take,取り消す,cancel (withdraw)
得る,get,外見,appearance,景色,view,ならば,if so,構う,care for,ローソク,candle
餌,feed,概要,overview,気,chi,母親,mother,給う,give,お菓子,candy (sweets)
不安,anxiety,学費,school fees,厳しい,severe,けれど,but,思う,think,おやつ,candy (snacks)
縁,relationship,学業,schoolwork,気分,mood,大切,important,通う,pass,カヌー,canoe
普段,usual,学年,academic year,機会,opportunity,外,outside,洗う,wash,車,car
筆,brush,学歴,academic background,危険,danger,伝わる,handed down,嫌う,dislike,自動車,car (automobile)
笛,flute,学生課,student affairs,聞こえる,sound,仕事,work,拐う,kidnap,自動車用の甲板,car deck
不平,unhappiness,願望,aspiration,決る,decide,面白い,interesting,習う,learn,車の証明書,car documents
夫人,husband and wife,頑丈,sturdy,決める,decide,今月,this month,倣う,follow,ベビーシート,car seat (child’s)
婦人,woman,頑固,stubbornness,君,you,始め,beginning,狙う,aim at,車の故障,car trouble
不自由,lack of freedom,がらがら,tough,気持ち,feeling,持つ,have,払う,pay,キャラバン,caravan
不可,impossible,がっしり,tough,近所,neighborhood,気に入る,like,貰う,get,乳製品,dairy products
不可能,impossible,合宿,camp,季節,season,十分,enough,笑う,laugh,損害,"damage (injury, loss)"
不幸,misfortune,画用紙,drawing paper,汽車,train,ましょうか,shall we?,狂う,go crazy,踊る,dance
含む,contains,芸能,performing arts,規則,rules,声,voice,揃う,get together,ふけ,dandruff
袋,bag,劇的,dramatic,きっと:,must be:,ところ,where,拾う,pick up,危険,danger
服装,clothing,現代人,modern people,心,mind,裏返す,turn over,祝う,celebrate,危険な,dangerous
不満,dissatisfaction,現時点,present time,国内,domestic,もう,already,扇ぐ,fan,暗い,dark
雰囲気,atmosphere,原稿,manuscript,国際,international,席,my seat.,仰ぐ,look up,デート,date
ふらふら,wobbly,原理,principle,細かい,detail,なんて,"oh, my god.",描く,draw,娘さん,daughter (other’s)
触れる,touch,原料,raw material,米,america,とか,what?,磨く,polish,娘,daughter (own)
不利,disadvantage,原作,original,込む,into,口,mouth,嘆く,lament,日,day
振る,shake,原産,origin,今度,next,種類,kind of,動く,move,まる一日,day (the whole)
震える,tremble,厳守,strict adherence,この間,during this time,気が重い,i feel so bad,塞ぐ,block,一昨日,day before yesterday
防ぐ,prevent,原則,principle,この頃,around this time,だと,if so,築く,build,日帰り温泉,day-trip hot spring
不正,injustice,減速,deceleration,今夜,tonight,所,where,濯ぐ,rinse,亡くなった,dead
節,knot,幻想,illusion,これから,from now on,用意,prepare,弾く,play,デッドゾーン,dead zone
不思議,wonder,限定,limitations,故障,failure,同意する,agree,稼ぐ,earn,カフェインなし,decaffeinated
不足,lack,現在地,current location,答え,answer,変える,change,防ぐ,prevent,カフェインフリー,decaffeinated
双子,twins,議題,agenda,事,things,込む,include,急ぐ,hurry,十二月,december
沸騰,boil,疑問点,questions,小鳥,little bird,日,day,注ぐ,pour,申告する,declare (customs)
夫婦,husband and wife,銀行員,banker,校長,principal,集める,gather,除く,remove,深い,deep
風景,landscape,ぎりぎり,just in time,講堂,lecture hall,動物,animals,覗く,look into,スキンダイビング,deep sea diving
不要,unnecessary,儀式,ritual,郊外,suburb,追い込む,drive,叩く,strike,冷凍庫,deep freeze
不用,unnecessary,ぎっしり,tightly packed,講義,lecture,確認,confirm,砕く,crush,度,degrees
不用品,unwanted,ぎざぎざ,jagged,工業,industry,済ます,finish,跨ぐ,straddle,停滞,"delay (stagnation, congestion, standstill)"
害,harm,ごちゃごちゃ,jumbled,工場,factory,音,sound,突く,poke,遅延,delay (latency)
外国語,foreign,強引,forceful,高校,high school,語,word,懐く,nurse,おいしい,delicious
外国産,foreign products,ぐったり,limp,高校生,high school student,注目,attention,続く,follow,歯医者,dentist
外交,foreign trade,後日,later,公務員,civil servant,壊す,break,担ぐ,carry,入れ歯,dentures
外食,foreign food,娯楽,entertainment,交通,transportation,確認,confirm,届く,reach,デオドラント,deodorant
外出,going out,合同,united,壊れる,break,溜める,accumulate,解く,untie,部,department
画家,painter,愚痴,complaining,壊す,break,打つ,strike,繋ぐ,connect,デパート,department store
がっかり,in a hurry,ぐんぐん,group of people,首,neck,なぜなら,because,招く,invite,出発,departure
学期,school term,行事,event,雲,cloud,振る,swing,凌ぐ,surpass,出発時間,departure time
楽器,musical instruments,行列,procession,比べる,compare,場合,case,裁く,judge,手付け金,deposit (earnest payment)
学,study,幅広い,broad,暮れる,dusk,海外,abroad,響く,resound,頭金,deposit (downpayment)
学部,undergraduate,蜂,bees,草,grass,それで,so,省く,save,保管,deposit (for safekeeping)
学問,study,蜂蜜,honey,空気,air,食品,food,背く,disobey,預金,deposit (bank account)
学者,learner,鉢植え,potted plant,空港,airport,条件,conditions,泳ぐ,swim,預金保険,deposit insurance
学習,learning,破片,fragments,怖い,scary,教え込む,teach,乾く,dry,預金利率,deposit interest rate
画面,screen,背景,background,客,guest,ちょっと,a little,渇く,thirst,デザート,dessert
柄,pattern,廃止,obsolete,教育,education,続ける,continue,騒ぐ,make noise,行き先,destination
芸術,art,墓参り,visit to a grave,教会,church,休み,rest,開く,open,終点,"destination (terminal, last stop)"
外科,surgery,発揮,emit,興味,interest,比較する,compare,歩く,walk,現像する,develop (photo)
劇,theater,泊,overnight,競争,competition,売り込む,sell,返す,return,開発者,developer
劇場,theater,白衣,white coat,急,express,到着する,arrive,帰す,return,糖尿病患者,diabetic
現場,field,鼻水,snot,急行,hurry,こと,things,倒す,knock down,ダイヤル,dial
現代,contemporary,話し合い,discussion,間違える,make a mistake,我,me,通す,let through,ダイヤモンド,diamond
言語,language,話し声,talking voice,参る,serious,捉える,capture,直す,fix,おしめ,diaper
現実,reality,話し手,speaker,真面目,serious,少し,a little,治す,cure,下痢,diarrhea
現状,present situation,販売者,seller,負ける,lose,参加,participation,犯す,violate,辞典,dictionary
限界,limitations,反映,reflection,漫画,manga,授業,lesson,侵す,invade,ディーゼル,diesel
現金,cash,半額,half price,間に合う,right on time,本人,the person,任す,entrust,ダイエット,diet
現象,phenomenon,半減,half reduction,真中,in the middle,男子,boys,汚す,defile,困難,"difficulty (distress, trouble, hardship)"
減少,decrease,恥,shame,または,or,下りる,going down,探す,search,耳,ear
現在,present,反感,antipathy,周り,around,未成年,minors,捜す,search,耳鼻咽喉科,"ear, nose and throat specialist"
議長,chairperson,半日,half day,回る,around,日本,japan,流す,cast off,耳痛,earache
議員,councilor,反発,repulsion,まず,first,文字,character,逃す,escape,イヤホン,earbud
議会,congress,張り切る,tension,召し上がる,eat,様,like,隠す,hide,耳薬,eardrops
疑問,question,反論,rebuttal,珍しい,unusual,多い,many,訳す,translate,早い,early
義務,duty,半数,half a number,見える,see,辛い,spicy,略す,abbreviate,イヤリング,earrings
銀,silver,腹を立てる,to be angry,港,port,白い,white,起す,cause,土地,earth (plot of land)
議論,discussion,張り紙,put up a sign,見つかる,find,折る,fold,残す,leave behind,陶器,"earthenware (porcelain, pottery, ceramics)"
技師,engineer,挟む,interrupt,見つける,find,以前,before,汚す,defile,瀬戸物,"earthenware (porcelain, pottery)"
語,language,発散,divergence,湖,lake,殺す,kill,崩す,destroy,土器,earthenware (unglazed)
語学,language,発想,idea,もちろん,of course,さて,now,外す,remove,東,east
豪華,luxury,発送,sending out,戻る,back to,全て,all,浸す,soak,簡単な,easy (simple)
誤解,misunderstanding,働き手,worker,森,forest,注目,attention.,渡す,pass,容易な,"easy (simple, plain)"
極,polar,果たす,fulfill,もし,if,申し出,offer,乱す,disrupt,易しい,"easy (simple, plain)"
塵,dust,発言,utterance,申し上げる,"to say, to tell",問う,ask,写す,copy,便利な,easy (to use)
合格,pass,早口,speak quickly,申す,"to say, to be called",宿泊,lodging,移す,transfer,食べる,eat
合計,total,早まる,speed up,もうすぐ,coming soon,必要である,necessary,映す,reflect,電子書籍,e-book
強盗,robbery,流行り,trend,迎える,coming soon,無難,safe,落す,drop,湿疹,eczema (rash)
軍,army,隔てる,divide,向かう,"to face, to go towards",無遠慮,no reservations,脅す,threaten,ウナギ,eel
軍隊,army,平凡,ordinary,昔,in the past,大会,convention,戻す,bring back,卵,egg
ぐっすり,sleeping,平気,plain,無理,impossible,綿,cotton,貶す,make fun of,ナス,eggplant
具体,concrete,弊社,our company,虫,insect,だから,so,話す,speak,電気,electricity
偶然,coincidence,閉店,closed,息子,son,持つ,have,離す,let go,電動自転車,electric bicycle
逆,reverse,変換,transformation,娘,daughter,始める,start,放す,let go,電気自動車,electric car
行儀,behavior,変形,transformation,投げる,throw,食事,meal,潰す,destroy,電気屋,electronics shop
幅,width,返金,refund,中々,not quite,見つかる,find,零す,spill,エレベーター,elevator
省く,save,返品,returned goods,泣く,cry,どこ,where,騙す,deceive,大使館,embassy
肌,skin,返信,reply,無くなる,disappears,有る,there is,示す,show,緊急ブレーキ,emergency brake
裸,naked,偏食,eclipse,亡くなる,die,台風,typhoon,試す,test,非常口,emergency exit
派手,gaudy,編集,edit,治る,get well,一人,alone,記す,write,非常電話,emergency phone
生える,growing,返送,returned,直る,get well,慣れる,get used to it,吊す,hang,つめやすり,emery board (nail file)
激しい,intense,返答,reply,直す,get well,投票,voting,許す,allow,天皇,emperor
母親,mother,非,non,慣れる,get used to,どうせ,i'll get used to it.,下す,lower,からの,empty
灰,ashes,日当たり,per day,鳴る,sound,着る,wear,卸す,unload,話し中,engaged (on the phone)
掃く,sweeping,非凡,extraordinary,なるほど,i see,重い,heavy,殺す,kill,婚約した,engaged (to be married)
歯磨き,toothpaste,日々,daily,寝坊,sleepyhead,当て込む,apply to,壊す,break,イギリス,england
配送,delivery,必着,must arrive,値段,price,選択する,choose,回す,rotate,英語,english (language)
配達,delivery,日帰り,by day,眠い,sleepy,喉が渇く,i'm thirsty,育つ,raise,楽しむ,enjoy
俳優,actor,日頃,daily,眠る,sleepy,動く,move,保つ,keep,封筒,envelope
始まり,beginning,引き込む,pull in,熱心,enthusiasm,耳,ear,浮ぶ,float,電子書籍リーダー,e-reader
墓,tomb,引き止める,retain,熱,ardent,心,mind,叫ぶ,shout,コンパニオン,escort
計る,measure,引き取る,take back,苦い,bitter,否定,negative,運ぶ,carry,夕方,evening
博士,doctor,引き続き,continue,逃げる,run away,対象,object,結ぶ,tie up,ディナースーツ,evening wear (men)
発見,discovery,引き渡す,hand over,二階建て,two-story building,要求,request,遊ぶ,play,ドレス,dress
発行,publish,引っかかる,get stuck,日記,diary,移動,movement,学ぶ,learn,事件,event (affair)
履く,put on,筆記,written,人形,doll,です,is,及ぶ,reach,できごと,"event (happening, affair, incident)"
吐く,vomit,非公式,informal,匂い,smell,相手,opponent,選ぶ,choose,全部,everything
博物館,museum,惹く,attract,似る,resemble,運動,movement,並ぶ,line up,どこにも,everywhere
拍手,applause,卑怯,unfair,喉,throat,崩れる,collapse,転ぶ,roll,探る,examine (explore)
花火,fireworks,非難,reproach,残る,remain,折る,fold,掴む,grab,発掘,excavation
離れる,leave,避難,evacuation,乗り換える,transfer,混同する,confuse,歪む,distort,優れた,excellent
話し合う,talk to each other,品質,quality,乗り物,ride,銃,gun,拝む,worship,交換する,"exchange (interchange, switching)"
話しかける,talk to,比例,proportion,濡れる,get wet,謝る,apologize,含む,include,為替両替所,exchange office (currency exchange)
離す,let go,広場,open space,塗る,paint,起こる,happen,恵む,bless,為替レート,exchange rate
放す,let go,広々,spaciousness,盗む,steal,確か,sure,励む,encourage,交流する,exchange (cultural)
