Sentences,Translation
服とは、西洋風の服装のことです。洋食とは、西洋風の料理のことです。海洋とは、大きな塩水の広がりのことです。 ,Western clothing is the style of clothing that is western. Western food is the cuisine that is western. Ocean is the expanse of salt water that is large.
冷静とは、感情に流されずに落ち着いていることです。静かとは、音や動きが少なくて穏やかなことです。静止とは、動かないで止まっていることです。,Calm is the state of being composed without being swayed by emotions. Quiet is the state of being peaceful with little noise or movement. Still is the state of being stopped without moving.
改善とは、悪い状態や問題をよくすることです。最善とは、可能な中で最も良いことです。慈善とは、困っている人や社会に対して善意で助けることです。,Improvement is the act of making a bad situation or problem better. Best is the thing that is the most good among the possible. Charity is the act of helping people or society in need with goodwill.
逮捕とは、警察が犯罪の容疑者を拘束することです。誤認逮捕とは、間違って無関係な人を逮捕することです。逮捕令状とは、裁判所が発行する逮捕の許可書のことです。,Arrest is the act of police detaining a criminal suspect. False arrest is the act of mistakenly arresting an unrelated person. Arrest warrant is the permission document for arrest issued by the court.
結婚とは、夫婦となることです。離婚とは、夫婦の関係を解消することです。婚約とは、結婚する約束をすることです。,Marriage is the act of becoming a couple. Divorce is the act of dissolving the relationship of a couple. Engagement is the act of making a promise to marry.
濃厚とは、色や味などが濃いことです。厚いとは、物の表面から裏面までの距離が長いことです。温厚とは、気性が穏やかで優しいことです。,Rich is the state of being thick in color or taste. Thick is the state of being long in distance from the surface to the back of something. Gentle is the state of being mild and kind in temperament.
歓喜とは、大きな喜びの感情です。喜ぶとは、嬉しいことがあって心が楽しくなることです。喜劇とは、笑いを誘うような話や演劇のことです。,Joy is the emotion of great happiness. Be happy is the state of being cheerful in the heart when something pleasant happens. Comedy is the story or drama that invites laughter.
年齢とは、生まれてからの経過した年数のことです。老齢とは、年齢が高くなって老いた状態のことです。適齢とは、ある目的や条件に合った年齢のことです。,Age is the number of years that have passed since birth. Old age is the state of being old and aged as the age becomes high. Suitable age is the age that matches a certain purpose or condition.
周囲とは、ある物や場所のまわりのことです。囲むとは、ある物や場所を中心にしてまわりに物を置くことです。範囲とは、ある物事や活動が及ぶ限度や領域のことです。,Surroundings is the thing around a certain thing or place. Surround is the act of placing things around a certain thing or place as the center. Range is the limit or area that a certain thing or activity reaches.
卒業とは、学校や教育機関を修了することです。大卒とは、大学を卒業した人のことです。新卒とは、卒業して間もない人のことです。,Graduation is the act of completing a school or educational institution. College graduate is the person who graduated from college. New graduate is the person who has just graduated.
緊迫とは、緊張や危機が高まることです。迫るとは、近づいてくることや、強く要求することです。気迫とは、強い意志や情熱を表すことです,Tension is the state of increasing nervousness or crisis. Approach is the act of coming closer or demanding strongly. Spirit is the act of expressing strong will or passion.
省略とは、必要のない部分を省いて短くすることです。略すとは、省略することや、簡単に表すことです。戦略とは、ある目的を達成するための計画や方法です。,Omission is the act of shortening by omitting unnecessary parts. Abbreviate is the act of omitting or expressing simply. Strategy is the plan or method for achieving a certain goal.
承諾とは、相手の申し出や要求に同意することです。承るとは、相手の言葉や意思を受け入れることです。承知とは、ある事実や状況を知っていることです。,Consent is the act of agreeing to the offer or request of the other party. Accept is the act of accepting the words or intentions of the other party. Acknowledge is the state of knowing a certain fact or situation.
浮かぶとは、水や空気の中に浮くことや、心に思い浮かぶことです。浮かべるとは、水や空気の中に物を浮くようにすることや、心に思い描くことです。浮力とは、水や空気などの流体が物に働く上向きの力のことです。,Float is the act of floating in water or air or coming to mind. Make float is the act of making something float in water or air or imagining in mind. Buoyancy is the upward force that a fluid such as water or air exerts on an object.
迷惑とは、他人に不快や困難を与えることです。惑わすとは、他人の心や判断を乱すことです。誘惑とは、欲望や利益にそそのかすことです。 ,Trouble is the act of giving discomfort or difficulty to others. Confuse is the act of disturbing the mind or judgment of others. Tempt is the act of enticing with desire or benefit.
雪崩とは、山の斜面に積もった雪が大量に滑り落ちる現象です。崩れるとは、形や構造が壊れて崩壊することです。崩すとは、形や構造を壊して崩壊させることです。,Avalanche is the phenomenon of a large amount of snow piled up on a mountain slope sliding down. Collapse is the act of breaking and collapsing the shape or structure. Destroy is the act of breaking and collapsing the shape or structure.
順調とは、物事が予定通りに進むことです。順番とは、物事の順序や順位のことです。手順とは、ある作業や操作を行うための一連の方法や段階のことです。,Smooth is the state of things going as planned. Order is the sequence or rank of things. Procedure is the series of methods or steps for doing a certain work or operation.
世紀とは、百年間の区切りのことです。紀元とは、ある出来事を起点として年数を数えることです。紀行とは、旅行の様子や感想を書いた文学作品のことです。,Century is the division of a hundred years. Era is the act of counting the years from a certain event. Travelogue is the literary work that wrote the state or impression of travel.
聴覚とは、音を感じる能力です。聴講とは、大学の授業に正式な履修者ではなく、聞き手として参加することです。聴聞とは、法廷や議会などで、証人や専門家などから意見や証言を聞くことです。,"Hearing is the ability to sense sound. Auditing is the act of participating in a university class as a listener, not as a formal student. Hearing is the act of listening to opinions or testimonies from witnesses or experts in courts or parliaments."
脱線とは、電車や話などが正しい方向から外れることです。脱ぐとは、服や靴などを身から外すことです。脱退とは、組織や団体などから離れることです。,"Derailment is the act of deviating from the correct direction, such as a train or a story. Take off is the act of removing clothes or shoes from the body. Withdrawal is the act of leaving from an organization or a group."
旅行とは、遠くの場所に行って楽しむことです。旅客とは、旅行に出かける人や乗り物に乗る人のことです。旅券とは、国外に出入りするために必要な公的な証明書のことです。,Travel is the act of going to a distant place and enjoying it. Passenger is the person who goes on a trip or rides a vehicle. Passport is the official document that is necessary for entering and leaving a foreign country.
絶滅とは、生物の種が全滅することです。絶えるとは、途切れることやなくなることです。拒絶とは、受け入れないことや断ることです。,Extinction is the act of a species of living things being annihilated. Cease is the act of being interrupted or disappearing. Rejection is the act of not accepting or refusing.
高級とは、品質や価値が高いことです。上級とは、程度や水準が高いことです。特級とは、等級やランクの中で最も高いことです。,High-class is the state of having high quality or value. Advanced is the state of having high degree or level. Special-class is the state of being the highest among the grades or ranks.
幸福とは、心や生活が満たされている状態のことです。幸せとは、嬉しいことや楽しいことがある状態のことです。幸運とは、思いがけない良いことが起こることです。,Happiness is the state of being fulfilled in the mind or life. Happy is the state of having something pleasant or enjoyable. Lucky is the act of something unexpected and good happening.
溶岩とは、火山から噴出する高温の岩石のことです。岩石とは、地球の表面や内部を構成する固体の物質のことです。岩場とは、岩石が多く露出している場所のことです。 ,Lava is the high-temperature rock that erupts from a volcano. Rock is the solid substance that constitutes the surface or interior of the earth. Rocky place is the place where rocks are exposed a lot.
訓練とは、ある目的のために技能や体力を鍛えることです。練るとは、物事をよく考えたり計画したりすることです。練習とは、ある技能や知識を身につけるために繰り返し行うことです。,Training is the act of honing one’s skills or physical strength for a certain purpose. To refine is the act of thinking or planning things well. Practice is the act of doing something repeatedly to acquire a certain skill or knowledge.
警察は犯人の自宅から大量の麻薬を押収した。彼はドアを力強く押して開けた。契約書に押印する前に、内容をよく確認してください。,The police seized a large amount of drugs from the criminal’s home. He pushed the door open with force. Please check the contents carefully before stamping the contract.
彼女は軽率な発言で友人を傷つけてしまった。このスーツケースはとても軽いので、持ち運びが楽です。彼は軽快な音楽に合わせて踊った。,"She hurt her friend with a careless remark. This suitcase is very light, so it is easy to carry around. He danced to the lively music."
