Question,Options,Answer
医者から病気についての<u>説明</u>を受ける。,1 せつめ 2 せっめ 3 せっめい 4 せつめい ,4 せつめい 
大学の合格<u>発表</u>が行われた。,1 はっぴょ  2 はぴょ 3 はっぴょう 4 はぴょう ,3 はっぴょう
柔道の<u>初級</u>の試験に合格した。,1 しょうきゅう  2 しょきゅう 3 しょうきゅ 4 しょきゅ ,2 しょきゅう
天気がいいので<u>布団</u>を干しましょう。,1 ぶとん 2 ふとん 3 ぶだん 4 ふだん ,2 ふとん
<u>通路</u>が狭せまくて通れません。,1 つうろ 2 つうろう 3 つろう 4 つろ ,1 つうろ
進学のことについて、先生に<u>相談</u>があります。,1 そうたん  2 しょうたん 3 そうだん 4 しょうだん ,3 そうだん
来年は大おお阪さかの支店で働くことを<u>希望</u>します。,1 きぼう 2 きぼ 3 きいぼ 4 きいぼう,1 きぼう
弟は来年の３月に大学を<u>卒業</u>する予定です。,1 そつぎょ 2 そっぎょ 3 そっぎょう 4 そつぎょう,4 そつぎょう
ずっと食べたかったカレーを食べられて<u>満足</u>した。,1 まんそく 2 まんぞく 3 まんそぐ 4 まんぞぐ ,2 まんぞく
わたしはプロの歌手として、１０年間<u>活動</u>しています。,1 かっどう 2 かっど 3 かつどう 4 かつど ,3 かつどう
生徒を<u>代表</u>してあいさつをする。,1 たいひょう 2 だいひょう 3 たいひょ 4 だいひょ ,2 だいひょう
先生はわたしの考えを否定した。,1 ひてい 2 ひて 3 ふてい 4 ふて ,1 ひてい
ガソリンをたくさん<u>消費</u>した。,1 そひ 2 そうひ 3 しょひ 4 しょうひ ,4 しょうひ 
<u>想定</u>していなかった問題が起きた。,1 そうてい 2 しょうてい 3 そうて 4 しょうて ,1 そうてい 
歯医者の<u>予約</u>をする。,1 ぞうやく 2 ぞやく 3 よやく 4 ようやく ,3 よやく
学校に携帯電話を持ってくることを<u>禁止</u>します。,1 きんじ 2 ぎんじ 3 ぎんし 4 きんし ,4 きんし 
今回の事件は、前回の事件と<u>関係</u>しているようだ。,1 かんけ 2 かんげ 3 かけい 4 かんけい ,4 かんけい 
今年は赤のチームが<u>優勝</u>しました。,1 ゆしょう 2 ゆうしょう 3 ゆうしょ 4 ゆしょ,2 ゆうしょう
昨日、足を<u>手術</u>しました。,1 しゅうしゅつ  2 しゅうじゅつ 3 しゅしゅつ 4 しゅじゅつ ,4 しゅじゅつ 
大事な日なのに、<u>失敗</u>してしまいました。,1 しっはい  2 しぱい 3 しっぱい 4 しはい ,3 しっぱい 
わたしは仕事でバスを<u>運転</u>しています。,1 うてん 2 うんてん 3 うんて 4 うってん ,2 うんてん
机を<u>引いて</u>ください。,1 ふいて 2 たたいて 3 ひいて 4 おいて ,3 ひいて
これは駐車場を<u>表す</u>マークです。,1 しめす 2 さす 3 かす 4 あらわす ,4 あらわす 
大きな段ボール箱を<u>届ける</u>。,1 とどける  2 ぶつける 3 あずける 4 わける ,1 とどける
妹の赤い洋服を<u>探す</u>。,1 なおす 2 のこす 3 ほす 4 さがす ,4 さがす 
彼女は昨日から<u>怒って</u>いる。,1 こまって 2 おこって 3 だまって 4 まよって ,2 おこって
緑の糸と白い糸を<u>編んで</u>います。,1 えらんで 2 むすんで 3 あんで 4 たのんで ,3 あんで
強い風で木が<u>折れた</u>。 ,1 たおれた 2 おれた 3 ゆれた 4 かれた , 2 おれた
弟が妹の布団を<u>干した</u>。,1 かくした 2 よごした 3 ほした 4 かえした ,3 ほした
中島さんが<u>酔って</u>しまいました。,1 よって 2 すべって 3 しゃべって 4 あまって ,1 よって 
友達に借りていた服を<u>渡す</u>。,1 かえす 2 ほす 3 わたす 4 よごす ,3 わたす
隣の席に<u>移り</u>ましょう。,1 すわり 2 うつり 3 くばり 4 もどり ,2 うつり
テストの内容を<u>変える</u>。,1 おぼえる 2 くわえる 3 つたえる 4 かえる ,4 かえる 
黒い子猫を<u>拾った</u>。,1 さわった  2 ひろった 3 まもった 4 かった ,2 ひろった
携帯電話を<u>直す</u>。,1 おとす 2 わたす 3 かす 4 なおす ,4 なおす 
松井さん、こっちを<u>向いて</u>ください。,1 むいて 2 やいて 3 みがいて 4 はいて ,1 むいて
